row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
64,16922,Kevin-Prince Boateng,US Sassuolo,2018,True,exact,100,84,Kevin-Prince Boateng,Sassuolo
65,17259,Manuel Neuer,Bayern Munich,2017,True,exact,100,100,Manuel Neuer,Bayern Munich
66,17259,Manuel Neuer,Bayern Munich,2018,True,exact,100,100,Manuel Neuer,Bayern Munich
67,17259,Manuel Neuer,Bayern Munich,2019,True,exact,100,100,Manuel Neuer,Bayern Munich
68,17259,Manuel Neuer,Bayern Munich,2020,True,exact,100,100,Manuel Neuer,Bayern Munich
69,17259,Manuel Neuer,Bayern Munich,2021,True,exact,100,100,Manuel Neuer,Bayern Munich
70,17259,Manuel Neuer,Bayern Munich,2022,True,exact,100,100,Manuel Neuer,Bayern Munich
71,17965,Hugo Lloris,Tottenham Hotspur,2017,True,exact,100,69,Hugo Lloris,Tottenham
72,17965,Hugo Lloris,Tottenham Hotspur,2018,True,exact,100,69,Hugo Lloris,Tottenham
73,17965,Hugo Lloris,Tottenham Hotspur,2019,True,exact,100,69,Hugo Lloris,Tottenham
74,17965,Hugo Lloris,Tottenham Hotspur,2020,True,exact,100,69,Hugo Lloris,Tottenham
75,17965,Hugo Lloris,Tottenham Hotspur,2021,True,exact,100,69,Hugo Lloris,Tottenham
76,18900,Hatem Ben Arfa,Paris Saint-Germain,2017,False,none,0,0,,
77,18900,Hatem Ben Arfa,Stade Rennais FC,2018,True,exact,100,45,Hatem Ben Arfa,Rennes
78,18922,Karim Benzema,Real Madrid,2017,True,exact,100,100,Karim Benzema,Real Madrid
79,18922,Karim Benzema,Real Madrid,2018,True,exact,100,100,Karim Benzema,Real Madrid
80,18922,Karim Benzema,Real Madrid,2019,True,exact,100,100,Karim Benzema,Real Madrid
81,18922,Karim Benzema,Real Madrid,2020,True,exact,100,100,Karim Benzema,Real Madrid
82,18922,Karim Benzema,Real Madrid,2021,True,exact,100,100,Karim Benzema,Real Madrid
83,18922,Karim Benzema,Real Madrid,2022,True,exact,100,100,Karim Benzema,Real Madrid
84,18935,Samir Nasri,West Ham United,2018,True,exact,100,69,Samir Nasri,West Ham
85,18944,Gerard Piqué,FC Barcelona,2017,True,exact,100,85,Gerard Piqué,Barcelona
86,18944,Gerard Piqué,FC Barcelona,2018,True,exact,100,85,Gerard Piqué,Barcelona
87,18944,Gerard Piqué,FC Barcelona,2019,True,exact,100,85,Gerard Piqué,Barcelona
88,18944,Gerard Piqué,FC Barcelona,2020,True,exact,100,85,Gerard Piqué,Barcelona
89,18944,Gerard Piqué,FC Barcelona,2021,True,exact,100,85,Gerard Piqué,Barcelona
90,19368,Mousa Dembélé,Tottenham Hotspur,2017,True,exact,100,69,Mousa Dembélé,Tottenham
91,19368,Mousa Dembélé,Tottenham Hotspur,2018,True,exact,100,69,Mousa Dembélé,Tottenham
92,19981,Javier Mascherano,FC Barcelona,2017,True,exact,100,85,Javier Mascherano,Barcelona
93,20005,Papu Gómez,Atalanta BC,2017,True,exact,100,84,Papu Gómez,Atalanta
94,20005,Papu Gómez,Atalanta BC,2018,True,exact,100,84,Papu Gómez,Atalanta
95,20005,Papu Gómez,Atalanta BC,2019,True,exact,100,84,Papu Gómez,Atalanta
96,20005,Papu Gómez,Atalanta BC,2020,True,exact,100,84,Papu Gómez,Atalanta
97,20005,Papu Gómez,Sevilla FC,2021,True,exact,100,82,Papu Gómez,Sevilla
98,20007,Pablo Zabaleta,West Ham United,2017,True,exact,100,69,Pablo Zabaleta,West Ham
99,20506,Andrés Guardado,Real Betis Balompié,2017,True,exact,100,68,Andrés Guardado,Real Betis
100,20506,Andrés Guardado,Real Betis Balompié,2018,True,exact,100,68,Andrés Guardado,Real Betis
101,21327,Ron-Robert Zieler,VfB Stuttgart,2017,True,exact,100,81,Ron-Robert Zieler,Stuttgart
102,21725,Filipe Luís,Atlético de Madrid,2017,True,exact,100,90,Filipe Luís,Atlético Madrid
103,22614,Robert Snodgrass,West Ham United,2017,False,none,0,0,,
104,22614,Robert Snodgrass,West Ham United,2018,True,exact,100,69,Robert Snodgrass,West Ham
105,22628,Benoît Costil,FC Girondins Bordeaux,2017,True,exact,100,55,Benoît Costil,Bordeaux
106,22628,Benoît Costil,FC Girondins Bordeaux,2018,True,exact,100,55,Benoît Costil,Bordeaux
107,25488,Antonio Candreva,Inter Milan,2017,True,exact,100,62,Antonio Candreva,Inter
108,25488,Antonio Candreva,Inter Milan,2018,True,exact,100,62,Antonio Candreva,Inter
109,25488,Antonio Candreva,Inter Milan,2019,True,exact,100,62,Antonio Candreva,Inter
110,25508,Salvatore Sirigu,Torino FC,2017,True,exact,100,80,Salvatore Sirigu,Torino
111,25508,Salvatore Sirigu,Torino FC,2018,True,exact,100,80,Salvatore Sirigu,Torino
112,25508,Salvatore Sirigu,Torino FC,2019,True,exact,100,80,Salvatore Sirigu,Torino
113,25557,Sergio Ramos,Real Madrid,2017,True,exact,100,100,Sergio Ramos,Real Madrid
114,25557,Sergio Ramos,Real Madrid,2018,True,exact,100,100,Sergio Ramos,Real Madrid
115,25557,Sergio Ramos,Real Madrid,2019,True,exact,100,100,Sergio Ramos,Real Madrid
116,25557,Sergio Ramos,Real Madrid,2020,True,exact,100,100,Sergio Ramos,Real Madrid
117,25557,Sergio Ramos,Paris Saint-Germain,2021,True,exact,100,18,Sergio Ramos,PSG
118,26267,Fernandinho,Manchester City,2017,True,exact,100,100,Fernandinho,Manchester City
119,26267,Fernandinho,Manchester City,2018,True,exact,100,100,Fernandinho,Manchester City
120,26267,Fernandinho,Manchester City,2019,True,exact,100,100,Fernandinho,Manchester City
121,26399,Sergio Agüero,Manchester City,2017,True,exact,100,100,Sergio Agüero,Manchester City
122,26399,Sergio Agüero,Manchester City,2018,True,exact,100,100,Sergio Agüero,Manchester City
123,26399,Sergio Agüero,Manchester City,2019,True,exact,100,100,Sergio Agüero,Manchester City
124,26399,Sergio Agüero,Manchester City,2020,True,exact,100,100,Sergio Agüero,Manchester City
125,26485,Jérôme Boateng,Bayern Munich,2017,True,exact,100,100,Jérôme Boateng,Bayern Munich
126,26485,Jérôme Boateng,Bayern Munich,2018,True,exact,100,100,Jérôme Boateng,Bayern Munich
127,26485,Jérôme Boateng,Bayern Munich,2019,True,exact,100,100,Jérôme Boateng,Bayern Munich
128,26485,Jérôme Boateng,Bayern Munich,2020,True,exact,100,100,Jérôme Boateng,Bayern Munich
129,26721,Lucas Biglia,AC Milan,2017,True,exact,100,76,Lucas Biglia,Milan
130,26721,Lucas Biglia,AC Milan,2018,True,exact,100,76,Lucas Biglia,Milan
131,27374,Sidnei,Real Betis Balompié,2018,True,exact,100,68,Sidnei,Real Betis
132,27374,Sidnei,Real Betis Balompié,2019,True,exact,100,68,Sidnei,Real Betis
133,27389,Kévin Gameiro,Atlético de Madrid,2017,True,exact,100,90,Kévin Gameiro,Atlético Madrid
134,27389,Kévin Gameiro,Valencia CF,2018,True,exact,100,84,Kévin Gameiro,Valencia
135,27389,Kévin Gameiro,Valencia CF,2019,True,exact,100,84,Kévin Gameiro,Valencia
136,27486,Kiko Casilla,Real Madrid,2017,True,exact,100,100,Kiko Casilla,Real Madrid
137,27511,Gary Cahill,Chelsea FC,2017,True,exact,100,82,Gary Cahill,Chelsea
138,27511,Gary Cahill,Chelsea FC,2018,True,exact,100,82,Gary Cahill,Chelsea
139,27992,Luka Modrić,Real Madrid,2017,True,exact,100,100,Luka Modrić,Real Madrid
140,27992,Luka Modrić,Real Madrid,2018,True,exact,100,100,Luka Modrić,Real Madrid
141,27992,Luka Modrić,Real Madrid,2019,True,exact,100,100,Luka Modrić,Real Madrid
142,27992,Luka Modrić,Real Madrid,2020,True,exact,100,100,Luka Modrić,Real Madrid
143,27992,Luka Modrić,Real Madrid,2021,True,exact,100,100,Luka Modrić,Real Madrid
144,27992,Luka Modrić,Real Madrid,2022,True,exact,100,100,Luka Modrić,Real Madrid
145,27992,Luka Modrić,Real Madrid,2023,True,exact,100,100,Luka Modrić,Real Madrid
146,28003,Lionel Messi,FC Barcelona,2017,True,exact,100,85,Lionel Messi,Barcelona
147,28003,Lionel Messi,FC Barcelona,2018,True,exact,100,85,Lionel Messi,Barcelona
148,28003,Lionel Messi,FC Barcelona,2019,True,exact,100,85,Lionel Messi,Barcelona
149,28003,Lionel Messi,FC Barcelona,2020,True,exact,100,85,Lionel Messi,Barcelona
150,28003,Lionel Messi,Paris Saint-Germain,2021,True,exact,100,18,Lionel Messi,PSG
151,28003,Lionel Messi,Paris Saint-Germain,2022,True,exact,100,18,Lionel Messi,PSG
152,28021,Samir Handanovič,Inter Milan,2017,True,exact,100,62,Samir Handanović,Inter
153,28021,Samir Handanovič,Inter Milan,2018,True,exact,100,62,Samir Handanović,Inter
154,28140,Max Gradel,FC Toulouse,2017,True,exact,100,84,Max Gradel,Toulouse
155,28140,Max Gradel,FC Toulouse,2018,True,exact,100,84,Max Gradel,Toulouse
156,28396,Edin Dzeko,AS Roma,2017,True,exact,100,72,Edin Džeko,Roma
157,28396,Edin Dzeko,AS Roma,2018,True,exact,100,72,Edin Džeko,Roma
158,28396,Edin Dzeko,AS Roma,2019,True,exact,100,72,Edin Džeko,Roma
159,28947,Gonzalo Castro,Borussia Dortmund,2017,True,exact,100,64,Gonzalo Castro,Dortmund
