row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
3546,194549,Simy,FC Crotone,2020,False,none,0,0,,
3587,196522,Dwight Gayle,Newcastle United,2018,False,none,0,0,,
3612,197470,Mattia Caldara,AC Milan,2018,False,none,0,0,,
3657,198589,Lewis Baker,Chelsea FC,2017,False,none,0,0,,
3703,201040,Marco Benassi,Hellas Verona,2020,False,none,0,0,,
3738,203026,Danny Ward,Leicester City,2019,False,none,0,0,,
3739,203026,Danny Ward,Leicester City,2020,False,none,0,0,,
3749,203394,Andreas Pereira,Manchester United,2021,False,none,0,0,,
3834,205940,Marko Pjaca,Juventus FC,2019,False,none,0,0,,
3902,207929,Dele Alli,Everton FC,2023,False,none,0,0,,
3919,210081,Didier Ndong,Watford FC,2017,False,none,0,0,,
3926,211637,Kiki Kouyaté,FC Metz,2020,False,none,0,0,,
3927,211637,Kiki Kouyaté,FC Metz,2021,False,none,0,0,,
3928,211637,Kiki Kouyaté,Montpellier HSC,2022,False,none,0,0,,
3929,211637,Kiki Kouyaté,Montpellier HSC,2023,False,none,0,0,,
3966,214056,Daniel Amartey,Leicester City,2019,False,none,0,0,,
4031,216375,Felipe Avenatti,Bologna FC 1909,2018,False,none,0,0,,
4034,216464,Carlos Fernández,Real Sociedad,2021,False,none,0,0,,
4074,221322,José Gayà,Valencia CF,2017,False,none,0,0,,
4075,221322,José Gayà,Valencia CF,2018,False,none,0,0,,
4076,221322,José Gayà,Valencia CF,2019,False,none,0,0,,
4077,221322,José Gayà,Valencia CF,2020,False,none,0,0,,
4078,221322,José Gayà,Valencia CF,2021,False,none,0,0,,
4079,221322,José Gayà,Valencia CF,2022,False,none,0,0,,
4080,221322,José Gayà,Valencia CF,2023,False,none,0,0,,
4081,221322,José Gayà,Valencia CF,2024,False,none,0,0,,
4096,222813,Marko Grujić,Liverpool FC,2020,False,none,0,0,,
4131,225020,Mariano Díaz,Olympique Lyon,2017,False,none,0,0,,
4132,225020,Mariano Díaz,Olympique Lyon,2018,False,none,0,0,,
4157,225452,Patrick Roberts,Manchester City,2017,False,none,0,0,,
4183,226049,Freddie Woodman,Newcastle United,2020,False,none,0,0,,
4210,228433,Wendell,Bayer 04 Leverkusen,2021,False,none,0,0,,
4328,234803,Andrew Robertson,Liverpool FC,2017,False,none,0,0,,
4329,234803,Andrew Robertson,Liverpool FC,2018,False,none,0,0,,
4330,234803,Andrew Robertson,Liverpool FC,2019,False,none,0,0,,
4331,234803,Andrew Robertson,Liverpool FC,2020,False,none,0,0,,
4332,234803,Andrew Robertson,Liverpool FC,2021,False,none,0,0,,
4333,234803,Andrew Robertson,Liverpool FC,2022,False,none,0,0,,
