league,season,team,player,nation,pos,age,born,standard_playing_time_mp,standard_playing_time_starts,standard_playing_time_min,standard_playing_time_90s,standard_performance_gls,standard_performance_ast,standard_performance_g_a,standard_performance_g_pk,standard_performance_pk,standard_performance_pkatt,standard_performance_crdy,standard_performance_crdr,standard_per_90_minutes_gls,standard_per_90_minutes_ast,standard_per_90_minutes_g_a,standard_per_90_minutes_g_pk,standard_per_90_minutes_g_a_pk,fbref_season_label,fbref_stat_type
ENG-Premier League,2022,Arsenal,Aaron Ramsdale,ENG,GK,24,1998,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2022-2023,standard
ENG-Premier League,2022,Arsenal,Albert Sambi Lokonga,BEL,MF,22,1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2022-2023,standard
ENG-Premier League,2022,Arsenal,Ben White,ENG,DF,24,1997,38,36,3055,33.9,2,5,7,2,0,0,5,0,0.06,0.15,0.21,0.06,0.21,2022-2023,standard
ENG-Premier League,2022,Arsenal,Bukayo Saka,ENG,"FW,MF",20,2001,38,37,3181,35.3,14,11,25,12,2,3,6,0,0.4,0.31,0.71,0.34,0.65,2022-2023,standard
ENG-Premier League,2022,Arsenal,Cédric Soares,POR,"DF,MF",30,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2022-2023,standard
ENG-Premier League,2022,Arsenal,Eddie Nketiah,ENG,FW,23,1999,30,9,1089,12.1,4,1,5,4,0,0,3,0,0.33,0.08,0.41,0.33,0.41,2022-2023,standard
ENG-Premier League,2022,Arsenal,Emile Smith Rowe,ENG,MF,22,2000,12,0,172,1.9,0,2,2,0,0,0,0,0,0.0,1.05,1.05,0.0,1.05,2022-2023,standard
ENG-Premier League,2022,Arsenal,Ethan Nwaneri,ENG,MF,15,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2022-2023,standard
ENG-Premier League,2022,Arsenal,Fabio Vieira,POR,MF,22,2000,22,3,514,5.7,1,2,3,1,0,0,0,0,0.18,0.35,0.53,0.18,0.53,2022-2023,standard
ENG-Premier League,2022,Arsenal,Gabriel Jesus,BRA,FW,25,1997,26,24,2064,22.9,11,6,17,10,1,1,6,0,0.48,0.26,0.74,0.44,0.7,2022-2023,standard
ENG-Premier League,2022,Arsenal,Gabriel Magalhães,BRA,DF,24,1997,38,38,3409,37.9,3,0,3,3,0,0,5,0,0.08,0.0,0.08,0.08,0.08,2022-2023,standard
