league,season,team,player,nation,pos,age,born,keeper_playing_time_mp,keeper_playing_time_starts,keeper_playing_time_min,keeper_90s,keeper_performance_ga,keeper_performance_ga90,keeper_performance_sota,keeper_performance_saves,keeper_performance_savepct,keeper_performance_w,keeper_performance_d,keeper_performance_l,keeper_performance_cs,keeper_performance_cspct,keeper_penalty_kicks_pkatt,keeper_penalty_kicks_pka,keeper_penalty_kicks_pksv,keeper_penalty_kicks_pkm,keeper_penalty_kicks_savepct,fbref_season_label,fbref_stat_type
ENG-Premier League,2021,Arsenal,Aaron Ramsdale,ENG,GK,23,1998,34,34,3060,34.0,39,1.15,129,90,69.8,21,3,10,12,35.3,6,5,0,1,0.0,2021-2022,keeper
ENG-Premier League,2021,Arsenal,Bernd Leno,GER,GK,29,1992,4,4,360,4.0,9,2.25,19,10,52.6,1,0,3,1,25.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Aston Villa,Emiliano Martínez,ARG,GK,28,1992,36,36,3240,36.0,48,1.33,142,94,66.2,13,6,17,11,30.6,6,4,1,1,20.0,2021-2022,keeper
ENG-Premier League,2021,Aston Villa,Jed Steer,ENG,GK,28,1992,1,1,90,1.0,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Aston Villa,Robin Olsen,SWE,GK,31,1990,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Brentford,David Raya,ESP,GK,25,1995,24,24,2160,24.0,27,1.13,105,78,74.3,10,5,9,8,33.3,4,4,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Brentford,Jonas Lössl,DEN,GK,32,1989,2,2,180,2.0,5,2.5,7,2,28.6,0,0,2,0,0.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Brentford,Álvaro Fernández,ESP,GK,23,1998,12,12,1080,12.0,24,2.0,73,49,67.1,3,2,7,1,8.3,1,1,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Brighton,Jason Steele,ENG,GK,30,1990,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Brighton,Robert Sánchez,ESP,GK,23,1997,37,37,3329,37.0,42,1.14,143,101,70.6,12,15,10,11,29.7,4,3,0,1,0.0,2021-2022,keeper
ENG-Premier League,2021,Burnley,Nick Pope,ENG,GK,29,1992,36,36,3240,36.0,47,1.31,167,120,71.9,7,14,15,9,25.0,5,5,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Burnley,Wayne Hennessey,WAL,GK,34,1987,2,2,180,2.0,6,3.0,14,8,57.1,0,0,2,0,0.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Chelsea,Kepa Arrizabalaga,ESP,GK,26,1994,4,4,360,4.0,2,0.5,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Chelsea,Édouard Mendy,SEN,GK,29,1992,34,34,3060,34.0,31,0.91,104,73,70.2,19,10,5,14,41.2,6,6,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Crystal Palace,Jack Butland,ENG,GK,28,1993,9,8,765,8.5,13,1.53,29,16,55.2,2,4,2,1,12.5,1,0,1,0,100.0,2021-2022,keeper
ENG-Premier League,2021,Crystal Palace,Vicente Guaita,ESP,GK,34,1987,30,30,2655,29.5,33,1.12,116,83,71.6,9,11,10,11,36.7,3,3,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Everton,Asmir Begović,BIH,GK,34,1987,3,3,270,3.0,8,2.67,19,11,57.9,1,0,2,1,33.3,1,1,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Everton,Jordan Pickford,ENG,GK,27,1994,35,35,3150,35.0,58,1.66,175,117,66.9,10,6,19,7,20.0,1,1,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Leeds United,Illan Meslier,FRA,GK,21,2000,38,38,3384,37.6,79,2.1,222,143,64.4,9,11,18,5,13.2,5,5,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Leeds United,Kristoffer Klaesson,NOR,GK,20,2000,1,0,36,0.4,0,0.0,4,4,100.0,0,0,0,0,,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Leicester City,Danny Ward,WAL,GK,28,1993,1,1,90,1.0,1,1.0,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Leicester City,Kasper Schmeichel,DEN,GK,34,1986,37,37,3330,37.0,58,1.57,187,129,69.0,13,10,14,7,18.9,10,7,2,1,22.2,2021-2022,keeper
ENG-Premier League,2021,Liverpool,Alisson,BRA,GK,28,1992,36,36,3240,36.0,24,0.67,99,75,75.8,27,7,2,20,55.6,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Liverpool,Caoimhín Kelleher,IRL,GK,22,1998,2,2,180,2.0,2,1.0,8,6,75.0,1,1,0,1,50.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Manchester City,Ederson Moraes,BRA,GK,27,1993,37,37,3330,37.0,26,0.7,85,58,69.4,28,6,3,20,54.1,1,1,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Manchester City,Zack Steffen,USA,GK,26,1995,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Manchester Utd,David de Gea,ESP,GK,30,1990,38,38,3420,38.0,57,1.5,175,123,67.4,16,10,12,8,21.1,6,3,3,0,50.0,2021-2022,keeper
ENG-Premier League,2021,Newcastle,Freddie Woodman,ENG,GK,24,1997,4,4,360,4.0,12,3.0,21,9,42.9,0,1,3,0,0.0,3,2,1,0,33.3,2021-2022,keeper
ENG-Premier League,2021,Newcastle,Karl Darlow,WAL,GK,30,1990,8,8,720,8.0,15,1.87,39,24,61.5,0,5,3,0,0.0,2,2,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Newcastle,Martin Dúbravka,SVK,GK,32,1989,26,26,2340,26.0,35,1.35,108,73,67.6,13,4,9,8,30.8,1,1,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Norwich City,Angus Gunn,SCO,GK,25,1996,9,9,810,9.0,22,2.44,56,34,60.7,1,2,6,1,11.1,4,2,1,1,33.3,2021-2022,keeper
ENG-Premier League,2021,Norwich City,Tim Krul,NED,GK,33,1988,29,29,2610,29.0,62,2.14,159,104,61.0,4,5,20,5,17.2,9,7,1,1,12.5,2021-2022,keeper
ENG-Premier League,2021,Southampton,Alex McCarthy,ENG,GK,31,1989,17,17,1530,17.0,27,1.59,71,44,62.0,3,7,7,5,29.4,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Southampton,Fraser Forster,ENG,GK,33,1988,19,19,1710,19.0,35,1.84,103,68,66.0,6,5,8,3,15.8,2,2,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Southampton,Willy Caballero,ARG,GK,39,1981,2,2,180,2.0,5,2.5,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,2021-2022,keeper
ENG-Premier League,2021,Tottenham,Hugo Lloris,FRA,GK,34,1986,38,38,3420,38.0,40,1.05,137,97,70.8,22,5,11,16,42.1,2,2,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,Watford,Ben Foster,ENG,GK,38,1983,26,26,2340,26.0,49,1.88,118,69,58.5,5,5,16,4,15.4,4,3,1,0,25.0,2021-2022,keeper
ENG-Premier League,2021,Watford,Daniel Bachmann,AUT,GK,27,1994,12,12,1080,12.0,28,2.33,75,47,62.7,1,0,11,0,0.0,3,3,0,0,0.0,2021-2022,keeper
ENG-Premier League,2021,West Ham,Alphonse Areola,FRA,GK,28,1993,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,2021-2022,keeper
