league,season,team,player,nation,pos,age,born,standard_playing_time_mp,standard_playing_time_starts,standard_playing_time_min,standard_playing_time_90s,standard_performance_gls,standard_performance_ast,standard_performance_g_a,standard_performance_g_pk,standard_performance_pk,standard_performance_pkatt,standard_performance_crdy,standard_performance_crdr,standard_per_90_minutes_gls,standard_per_90_minutes_ast,standard_per_90_minutes_g_a,standard_per_90_minutes_g_pk,standard_per_90_minutes_g_a_pk,fbref_season_label,fbref_stat_type
ENG-Premier League,2021,Arsenal,Aaron Ramsdale,ENG,GK,23,1998,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Arsenal,Ainsley Maitland-Niles,ENG,MF,23,1997,8,2,268,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Arsenal,Albert Sambi Lokonga,BEL,MF,21,1999,19,12,1134,12.6,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Arsenal,Alexandre Lacazette,FRA,"FW,MF",30,1991,30,20,1782,19.8,4,7,11,2,2,3,0,0,0.2,0.35,0.56,0.1,0.45,2021-2022,standard
ENG-Premier League,2021,Arsenal,Ben White,ENG,DF,23,1997,32,32,2880,32.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Arsenal,Bernd Leno,GER,GK,29,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Arsenal,Bukayo Saka,ENG,"MF,FW",19,2001,38,36,2978,33.1,11,7,18,9,2,2,6,0,0.33,0.21,0.54,0.27,0.48,2021-2022,standard
ENG-Premier League,2021,Arsenal,Calum Chambers,ENG,DF,26,1995,2,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Arsenal,Cédric Soares,POR,DF,29,1991,21,16,1486,16.5,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,2021-2022,standard
ENG-Premier League,2021,Arsenal,Eddie Nketiah,ENG,FW,22,1999,21,8,835,9.3,5,1,6,5,0,0,3,0,0.54,0.11,0.65,0.54,0.65,2021-2022,standard
ENG-Premier League,2021,Arsenal,Emile Smith Rowe,ENG,MF,21,2000,33,21,1921,21.3,10,2,12,10,0,0,1,0,0.47,0.09,0.56,0.47,0.56,2021-2022,standard
ENG-Premier League,2021,Arsenal,Folarin Balogun,USA,FW,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Arsenal,Gabriel Magalhães,BRA,DF,23,1997,35,35,3063,34.0,5,0,5,5,0,0,8,1,0.15,0.0,0.15,0.15,0.15,2021-2022,standard
ENG-Premier League,2021,Arsenal,Gabriel Martinelli,BRA,"MF,FW",20,2001,29,21,1860,20.7,6,6,12,5,1,1,3,1,0.29,0.29,0.58,0.24,0.53,2021-2022,standard
ENG-Premier League,2021,Arsenal,Granit Xhaka,SUI,MF,28,1992,27,27,2327,25.9,1,2,3,1,0,0,10,1,0.04,0.08,0.12,0.04,0.12,2021-2022,standard
ENG-Premier League,2021,Arsenal,Kieran Tierney,SCO,DF,24,1997,22,22,1915,21.3,1,3,4,1,0,0,0,0,0.05,0.14,0.19,0.05,0.19,2021-2022,standard
ENG-Premier League,2021,Arsenal,Martin Ødegaard,NOR,MF,22,1998,36,32,2785,30.9,7,4,11,7,0,0,4,0,0.23,0.13,0.36,0.23,0.36,2021-2022,standard
ENG-Premier League,2021,Arsenal,Mohamed Elneny,EGY,MF,29,1992,14,8,806,9.0,0,2,2,0,0,0,1,0,0.0,0.22,0.22,0.0,0.22,2021-2022,standard
ENG-Premier League,2021,Arsenal,Nicolas Pépé,CIV,MF,26,1995,20,5,696,7.7,1,2,3,1,0,0,0,0,0.13,0.26,0.39,0.13,0.39,2021-2022,standard
ENG-Premier League,2021,Arsenal,Nuno Tavares,POR,DF,21,2000,22,13,1176,13.1,1,1,2,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,2021-2022,standard
ENG-Premier League,2021,Arsenal,Pablo Marí,ESP,DF,27,1993,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,32,1989,14,12,1037,11.5,4,1,5,4,0,2,3,0,0.35,0.09,0.43,0.35,0.43,2021-2022,standard
ENG-Premier League,2021,Arsenal,Reiss Nelson,ENG,"FW,MF",21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Arsenal,Rob Holding,ENG,DF,25,1995,15,9,845,9.4,1,0,1,1,0,0,4,1,0.11,0.0,0.11,0.11,0.11,2021-2022,standard
ENG-Premier League,2021,Arsenal,Sead Kolašinac,BIH,DF,28,1993,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Arsenal,Takehiro Tomiyasu,JPN,DF,22,1998,21,20,1679,18.7,0,1,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,2021-2022,standard
ENG-Premier League,2021,Arsenal,Thomas Partey,GHA,MF,28,1993,24,23,2028,22.5,2,1,3,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Anwar El Ghazi,NED,"MF,FW",26,1995,9,4,386,4.3,1,1,2,0,1,1,2,0,0.23,0.23,0.47,0.0,0.23,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Ashley Young,ENG,"DF,FW",36,1985,24,10,1250,13.9,0,2,2,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Axel Tuanzebe,COD,DF,23,1997,9,6,508,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Bertrand Traoré,BFA,FW,25,1995,9,1,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Calum Chambers,ENG,"DF,MF",26,1995,11,9,831,9.2,1,0,1,1,0,0,1,0,0.11,0.0,0.11,0.11,0.11,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Cameron Archer,ENG,"FW,MF",20,2001,3,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Carney Chukwuemeka,AUT,MF,17,2003,12,2,301,3.3,0,1,1,0,0,0,0,0,0.0,0.3,0.3,0.0,0.3,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Danny Ings,ENG,FW,29,1992,30,22,1898,21.1,7,6,13,6,1,1,4,0,0.33,0.28,0.62,0.28,0.57,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Douglas Luiz,BRA,MF,23,1998,34,31,2715,30.2,2,3,5,2,0,0,7,0,0.07,0.1,0.17,0.07,0.17,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Emi Buendía,ARG,"FW,MF",24,1996,35,22,1899,21.1,4,6,10,4,0,0,1,0,0.19,0.28,0.47,0.19,0.47,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Emiliano Martínez,ARG,GK,28,1992,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Ezri Konsa,ENG,DF,23,1997,29,29,2477,27.5,2,0,2,2,0,0,6,2,0.07,0.0,0.07,0.07,0.07,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Jacob Ramsey,ENG,MF,20,2001,34,29,2467,27.4,6,1,7,6,0,0,6,0,0.22,0.04,0.26,0.22,0.26,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Jed Steer,ENG,GK,28,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,John McGinn,SCO,MF,26,1994,35,35,3090,34.3,3,4,7,3,0,0,8,0,0.09,0.12,0.2,0.09,0.2,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Keinan Davis,ENG,FW,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Kortney Hause,ENG,DF,26,1995,7,4,397,4.4,1,0,1,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Leon Bailey,JAM,"FW,MF",23,1997,18,7,761,8.5,1,2,3,1,0,0,3,0,0.12,0.24,0.35,0.12,0.35,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Lucas Digne,FRA,DF,28,1993,16,16,1269,14.1,0,4,4,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Marvelous Nakamba,ZIM,MF,27,1994,16,10,904,10.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Matt Targett,ENG,"DF,MF",25,1995,17,17,1431,15.9,1,1,2,1,0,0,2,0,0.06,0.06,0.13,0.06,0.13,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Matty Cash,POL,"DF,MF",23,1997,38,38,3377,37.5,4,3,7,4,0,0,8,0,0.11,0.08,0.19,0.11,0.19,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Morgan Sanson,FRA,MF,26,1994,10,3,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Ollie Watkins,ENG,FW,25,1995,35,33,2952,32.8,11,2,13,10,1,1,7,0,0.34,0.06,0.4,0.3,0.37,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Philippe Coutinho,BRA,"MF,FW",29,1992,19,16,1329,14.8,5,3,8,5,0,0,0,0,0.34,0.2,0.54,0.34,0.54,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Robin Olsen,SWE,GK,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Tim Iroegbunam,ENG,MF,18,2003,3,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Trézéguet,EGY,"FW,MF",26,1994,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Tyrone Mings,ENG,DF,28,1993,36,35,3189,35.4,1,3,4,1,0,0,11,0,0.03,0.08,0.11,0.03,0.11,2021-2022,standard
ENG-Premier League,2021,Aston Villa,Wesley Moraes,BRA,FW,24,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Brentford,Bryan Mbeumo,CMR,FW,21,1999,35,34,2905,32.3,4,7,11,3,1,1,4,0,0.12,0.22,0.34,0.09,0.31,2021-2022,standard
ENG-Premier League,2021,Brentford,Charlie Goode,ENG,DF,25,1995,6,4,450,5.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Brentford,Christian Eriksen,DEN,MF,29,1992,11,10,939,10.4,1,4,5,1,0,0,1,0,0.1,0.38,0.48,0.1,0.48,2021-2022,standard
ENG-Premier League,2021,Brentford,Christian Nørgaard,DEN,MF,27,1994,35,35,3054,33.9,3,4,7,3,0,0,8,0,0.09,0.12,0.21,0.09,0.21,2021-2022,standard
ENG-Premier League,2021,Brentford,David Raya,ESP,GK,25,1995,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
ENG-Premier League,2021,Brentford,Dominic Thompson,ENG,MF,21,2000,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-2022,standard
