league,season,team,player,nation,pos,age,born,misc_90s,misc_performance_crdy,misc_performance_crdr,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,fbref_season_label,fbref_stat_type
ENG-Premier League,2023,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,0,0,0,0,1,0,0,0,0,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Ben White,ENG,DF,25,1997,33.2,8,0,0,19,12,11,57,30,28,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,4,0,0,41,69,8,181,16,37,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Cédric Soares,POR,"DF,MF",31,1991,0.7,0,0,0,0,1,0,4,0,0,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,David Raya,ESP,GK,27,1995,32.0,2,0,0,0,4,0,0,0,1,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,5,0,0,34,14,2,61,44,50,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,3,0,0,24,28,8,5,4,7,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,0,0,0,5,2,0,1,3,1,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Ethan Nwaneri,ENG,MF,16,2007,0.2,0,0,0,1,1,0,0,0,0,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Fabio Vieira,POR,MF,23,2000,3.3,0,1,0,8,10,2,15,2,2,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Gabriel Jesus,BRA,FW,26,1997,16.4,6,0,0,26,32,16,9,13,17,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Gabriel Magalhães,BRA,DF,25,1997,33.8,4,0,0,35,33,0,4,29,29,,,1,2023-2024,misc
ENG-Premier League,2023,Arsenal,Gabriel Martinelli,BRA,FW,22,2001,22.4,1,0,0,23,24,10,109,4,23,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Jakub Kiwior,POL,DF,23,2000,10.5,1,0,0,10,3,0,12,7,13,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Jorginho,ITA,MF,31,1991,10.2,1,0,0,9,15,0,3,11,10,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Jurriën Timber,NED,DF,22,2001,0.8,2,0,0,3,0,1,1,0,2,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Kai Havertz,GER,"MF,FW",24,1999,29.3,11,0,0,49,44,15,11,18,17,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Leandro Trossard,BEL,"FW,MF",28,1994,18.3,2,0,0,15,20,9,57,8,14,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Martin Ødegaard,NOR,MF,24,1998,34.3,2,0,0,30,36,3,77,14,18,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Mohamed Elneny,EGY,MF,31,1992,0.3,0,0,0,1,0,0,0,1,0,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Oleksandr Zinchenko,UKR,DF,26,1996,19.1,2,0,0,7,9,1,30,19,30,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Reiss Nelson,ENG,FW,23,1999,3.0,1,0,0,5,6,0,14,1,5,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Takehiro Tomiyasu,JPN,DF,24,1998,12.8,2,1,1,14,8,1,14,18,8,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,Thomas Partey,GHA,"MF,DF",30,1993,8.8,3,0,0,10,6,0,2,10,11,,,0,2023-2024,misc
ENG-Premier League,2023,Arsenal,William Saliba,FRA,DF,22,2001,38.0,4,0,0,22,16,0,3,29,26,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Bertrand Traoré,BFA,"FW,MF",27,1995,0.1,0,0,0,0,0,0,0,0,1,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Boubacar Kamara,FRA,MF,23,1999,18.4,7,1,0,35,29,0,2,20,30,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Calum Chambers,ENG,MF,28,1995,1.7,1,0,0,3,1,0,0,2,0,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Cameron Archer,ENG,"FW,MF",22,2001,0.1,1,0,0,1,0,0,0,0,0,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Clément Lenglet,FRA,DF,28,1995,12.8,3,0,0,3,12,0,3,8,9,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Diego Carlos,BRA,DF,30,1993,20.2,4,0,0,26,4,1,1,12,16,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Douglas Luiz,BRA,MF,25,1998,33.3,12,0,0,51,41,0,116,22,37,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,4,0,0,1,7,0,0,0,0,,,2,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Ezri Konsa,ENG,DF,25,1997,34.1,5,0,0,15,64,0,18,26,33,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Finley Munroe,ENG,DF,18,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Jacob Ramsey,ENG,MF,22,2001,9.5,2,0,0,7,12,0,11,3,8,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",21,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,John McGinn,SCO,MF,28,1994,33.3,9,1,0,39,69,2,77,20,34,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Jáder Durán,COL,FW,19,2003,5.3,5,0,0,12,8,4,6,1,5,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Kaine Kesler-Hayden,ENG,"DF,MF",20,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Leander Dendoncker,BEL,MF,28,1995,1.3,0,0,0,1,1,0,0,2,4,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Leon Bailey,JAM,MF,25,1997,23.0,5,0,0,26,26,11,77,9,8,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Lucas Digne,FRA,DF,30,1993,26.8,7,0,0,30,29,2,151,25,21,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Matty Cash,POL,"DF,MF",25,1997,23.8,8,0,0,30,22,0,38,18,30,,,1,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Morgan Rogers,ENG,MF,21,2002,7.1,3,0,0,12,9,0,2,3,1,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Moussa Diaby,FRA,"MF,FW",24,1999,24.2,1,0,0,16,15,6,45,9,5,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Nicolò Zaniolo,ITA,"MF,FW",24,1999,9.3,7,0,0,24,21,0,18,1,9,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Ollie Watkins,ENG,FW,27,1995,35.7,4,0,0,22,41,17,14,4,7,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Omari Kellyman,ENG,"FW,MF",17,2005,0.4,0,0,0,0,0,0,0,0,0,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Pau Torres,ESP,DF,26,1997,27.4,1,0,0,17,10,2,8,11,16,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Philippe Coutinho,BRA,"FW,MF",31,1992,0.3,0,0,0,0,1,0,0,0,0,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,0,0,0,0,2,0,0,0,0,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Tim Iroegbunam,ENG,MF,20,2003,1.8,0,0,0,9,3,0,0,3,4,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Tyrone Mings,ENG,DF,30,1993,0.3,0,0,0,0,0,0,0,1,0,,,0,2023-2024,misc
ENG-Premier League,2023,Aston Villa,Youri Tielemans,BEL,"MF,FW",26,1997,18.0,3,0,0,22,29,0,31,14,21,,,0,2023-2024,misc
