league,season,team,player,nation,pos,age,born,misc_90s,misc_performance_crdy,misc_performance_crdr,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,fbref_season_label,fbref_stat_type
ENG-Premier League,2019,Arsenal,Ainsley Maitland-Niles,ENG,DF,21,1997,15.4,6,1,1,15,13,0,17,29,21,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Alexandre Lacazette,FRA,FW,28,1991,20.8,8,0,0,43,45,13,15,7,16,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Bernd Leno,GER,GK,27,1992,29.4,2,0,0,0,4,0,0,0,0,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Bukayo Saka,ENG,"MF,DF",17,2001,19.5,6,0,0,22,28,10,67,12,21,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Calum Chambers,ENG,DF,24,1995,12.2,5,0,0,18,4,0,34,15,10,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Cédric Soares,POR,MF,27,1991,2.8,0,0,0,6,1,0,18,3,6,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Dani Ceballos,ESP,MF,22,1996,18.8,1,0,0,19,35,0,72,30,25,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,David Luiz,BRA,DF,32,1987,31.2,5,2,0,30,14,1,5,30,16,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Eddie Nketiah,ENG,FW,20,1999,7.0,0,1,0,16,10,3,1,1,5,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Emile Smith Rowe,ENG,MF,19,2000,1.1,0,0,0,0,1,0,1,1,1,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Emiliano Martínez,ARG,GK,26,1992,8.6,2,0,0,0,0,0,0,0,0,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Gabriel Martinelli,BRA,MF,18,2001,7.4,1,0,0,9,10,2,22,3,16,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Granit Xhaka,SUI,MF,26,1992,28.7,10,0,0,56,32,0,16,21,24,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Henrikh Mkhitaryan,ARM,MF,30,1989,1.2,1,0,0,2,2,1,4,0,0,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Héctor Bellerín,ESP,"DF,MF",24,1995,12.9,2,0,0,15,3,1,26,18,12,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Joe Willock,ENG,MF,19,1999,9.5,2,0,0,10,13,0,7,3,15,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Kieran Tierney,SCO,"DF,MF",22,1997,11.0,2,0,0,8,12,0,44,9,15,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Lucas Torreira,URU,MF,23,1996,16.8,7,0,0,24,43,1,12,31,16,,,0,2019-2020,misc
ENG-Premier League,2019,Arsenal,Mattéo Guendouzi,FRA,MF,20,1999,19.4,6,0,0,17,49,0,6,30,17,,,0,2019-2020,misc
