league,season,team,player,nation,pos,age,born,shooting_90s,shooting_standard_gls,shooting_standard_sh,shooting_standard_sot,shooting_standard_sotpct,shooting_standard_sh_90,shooting_standard_sot_90,shooting_standard_g_sh,shooting_standard_g_sot,shooting_standard_pk,shooting_standard_pkatt,fbref_season_label,fbref_stat_type
ENG-Premier League,2018,Arsenal,Aaron Ramsey,WAL,MF,27,1990,14.8,4,33,14,42.4,2.23,0.95,0.12,0.29,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Ainsley Maitland-Niles,ENG,"MF,DF",20,1997,11.0,1,5,3,60.0,0.46,0.27,0.2,0.33,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Alex Iwobi,NGA,"MF,FW",22,1996,21.9,3,35,14,40.0,1.6,0.64,0.09,0.21,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Alexandre Lacazette,FRA,FW,27,1991,27.8,13,83,32,38.6,2.99,1.15,0.16,0.41,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Bernd Leno,GER,GK,26,1992,31.5,0,0,0,,0.0,0.0,,,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Bukayo Saka,ENG,"FW,MF",16,2001,0.1,0,0,0,,0.0,0.0,,,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Carl Jenkinson,ENG,MF,26,1992,1.8,0,0,0,,0.0,0.0,,,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Danny Welbeck,ENG,MF,27,1990,1.7,1,4,2,50.0,2.35,1.18,0.25,0.5,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Denis Suárez,ESP,MF,24,1994,0.8,0,0,0,,0.0,0.0,,,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Eddie Nketiah,ENG,FW,19,1999,0.7,1,3,1,33.3,4.03,1.34,0.33,1.0,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Granit Xhaka,SUI,MF,25,1992,27.8,4,29,12,41.4,1.04,0.43,0.14,0.33,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Henrikh Mkhitaryan,ARM,"MF,FW",29,1989,18.2,6,49,14,28.6,2.69,0.77,0.12,0.43,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Héctor Bellerín,ESP,"DF,MF",23,1995,17.0,0,18,4,22.2,1.06,0.23,0.0,0.0,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Joe Willock,ENG,MF,18,1999,0.7,0,2,0,0.0,2.81,0.0,0.0,,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Konstantinos Mavropanos,GRE,DF,20,1997,1.6,0,2,0,0.0,1.22,0.0,0.0,,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Laurent Koscielny,FRA,DF,32,1985,14.8,3,5,4,80.0,0.34,0.27,0.6,0.75,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Lucas Torreira,URU,MF,22,1996,26.5,2,25,6,24.0,0.94,0.23,0.08,0.33,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Mattéo Guendouzi,FRA,MF,19,1999,23.9,0,16,3,18.8,0.67,0.13,0.0,0.0,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Mesut Özil,GER,MF,29,1988,19.3,5,11,6,54.5,0.57,0.31,0.45,0.83,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Mohamed Elneny,EGY,MF,26,1992,4.2,0,7,0,0.0,1.66,0.0,0.0,,0,0,2018-2019,shooting
ENG-Premier League,2018,Arsenal,Nacho Monreal,ESP,DF,32,1986,20.7,1,9,4,44.4,0.44,0.19,0.11,0.25,0,0,2018-2019,shooting
