league,season,team,player,nation,pos,age,born,shooting_90s,shooting_standard_gls,shooting_standard_sh,shooting_standard_sot,shooting_standard_sotpct,shooting_standard_sh_90,shooting_standard_sot_90,shooting_standard_g_sh,shooting_standard_g_sot,shooting_standard_pk,shooting_standard_pkatt,fbref_season_label,fbref_stat_type
ENG-Premier League,2020,Arsenal,Ainsley Maitland-Niles,ENG,"MF,DF",22,1997,5.4,0,2,1,50.0,0.37,0.18,0.0,0.0,0,0,2020-2021,shooting
ENG-Premier League,2020,Arsenal,Alexandre Lacazette,FRA,FW,29,1991,21.4,13,45,29,64.4,2.11,1.36,0.22,0.34,3,3,2020-2021,shooting
ENG-Premier League,2020,Arsenal,Bernd Leno,GER,GK,28,1992,34.8,0,0,0,,0.0,0.0,,,0,0,2020-2021,shooting
ENG-Premier League,2020,Arsenal,Bukayo Saka,ENG,MF,18,2001,28.4,5,61,20,32.8,2.15,0.71,0.08,0.25,0,0,2020-2021,shooting
ENG-Premier League,2020,Arsenal,Calum Chambers,ENG,DF,25,1995,8.4,0,8,0,0.0,0.96,0.0,0.0,,0,0,2020-2021,shooting
ENG-Premier League,2020,Arsenal,Cédric Soares,POR,DF,28,1991,8.3,0,7,2,28.6,0.84,0.24,0.0,0.0,0,0,2020-2021,shooting
ENG-Premier League,2020,Arsenal,Dani Ceballos,ESP,MF,23,1996,17.9,0,13,2,15.4,0.72,0.11,0.0,0.0,0,0,2020-2021,shooting
ENG-Premier League,2020,Arsenal,David Luiz,BRA,DF,33,1987,15.5,1,15,2,13.3,0.97,0.13,0.07,0.5,0,0,2020-2021,shooting
ENG-Premier League,2020,Arsenal,Eddie Nketiah,ENG,FW,21,1999,4.7,2,12,5,41.7,2.55,1.06,0.17,0.4,0,0,2020-2021,shooting
ENG-Premier League,2020,Arsenal,Emile Smith Rowe,ENG,MF,20,2000,16.0,2,13,6,46.2,0.81,0.37,0.15,0.33,0,0,2020-2021,shooting
ENG-Premier League,2020,Arsenal,Gabriel Magalhães,BRA,DF,22,1997,22.2,2,16,4,25.0,0.72,0.18,0.13,0.5,0,0,2020-2021,shooting
