league,season,team,player,nation,pos,age,born,shooting_90s,shooting_standard_gls,shooting_standard_sh,shooting_standard_sot,shooting_standard_sotpct,shooting_standard_sh_90,shooting_standard_sot_90,shooting_standard_g_sh,shooting_standard_g_sot,shooting_standard_pk,shooting_standard_pkatt,fbref_season_label,fbref_stat_type
ENG-Premier League,2019,Arsenal,Ainsley Maitland-Niles,ENG,DF,21,1997,15.4,0,4,1,25.0,0.26,0.06,0.0,0.0,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Alexandre Lacazette,FRA,FW,28,1991,20.8,10,53,26,49.1,2.55,1.25,0.19,0.38,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Bernd Leno,GER,GK,27,1992,29.4,0,0,0,,0.0,0.0,,,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Bukayo Saka,ENG,"MF,DF",17,2001,19.5,1,13,4,30.8,0.67,0.21,0.08,0.25,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Calum Chambers,ENG,DF,24,1995,12.2,1,12,2,16.7,0.98,0.16,0.08,0.5,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Cédric Soares,POR,MF,27,1991,2.8,1,1,1,100.0,0.36,0.36,1.0,1.0,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Dani Ceballos,ESP,MF,22,1996,18.8,0,13,3,23.1,0.69,0.16,0.0,0.0,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,David Luiz,BRA,DF,32,1987,31.2,2,23,8,34.8,0.74,0.26,0.09,0.25,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Eddie Nketiah,ENG,FW,20,1999,7.0,2,15,5,33.3,2.13,0.71,0.13,0.4,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Emile Smith Rowe,ENG,MF,19,2000,1.1,0,0,0,,0.0,0.0,,,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Emiliano Martínez,ARG,GK,26,1992,8.6,0,0,0,,0.0,0.0,,,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Gabriel Martinelli,BRA,MF,18,2001,7.4,3,12,5,41.7,1.63,0.68,0.25,0.6,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Granit Xhaka,SUI,MF,26,1992,28.7,1,11,3,27.3,0.38,0.1,0.09,0.33,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Henrikh Mkhitaryan,ARM,MF,30,1989,1.2,0,2,0,0.0,1.61,0.0,0.0,,0,0,2019-2020,shooting
ENG-Premier League,2019,Arsenal,Héctor Bellerín,ESP,"DF,MF",24,1995,12.9,1,7,2,28.6,0.54,0.16,0.14,0.5,0,0,2019-2020,shooting
