league,season,team,player,nation,pos,age,born,misc_90s,misc_performance_crdy,misc_performance_crdr,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,fbref_season_label,fbref_stat_type
ENG-Premier League,2020,Arsenal,Ainsley Maitland-Niles,ENG,"MF,DF",22,1997,5.4,0,0,0,6,3,2,8,14,8,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Alexandre Lacazette,FRA,FW,29,1991,21.4,3,0,0,37,54,10,3,10,9,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Bernd Leno,GER,GK,28,1992,34.8,0,1,0,2,4,0,0,0,1,,,1,2020-2021,misc
ENG-Premier League,2020,Arsenal,Bukayo Saka,ENG,MF,18,2001,28.4,1,0,0,28,64,15,147,26,16,,,1,2020-2021,misc
ENG-Premier League,2020,Arsenal,Calum Chambers,ENG,DF,25,1995,8.4,0,0,0,8,2,0,33,10,3,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Cédric Soares,POR,DF,28,1991,8.3,1,0,0,6,5,0,35,9,8,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Dani Ceballos,ESP,MF,23,1996,17.9,4,0,0,22,24,0,30,30,24,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,David Luiz,BRA,DF,33,1987,15.5,1,1,0,15,6,1,8,16,8,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Eddie Nketiah,ENG,FW,21,1999,4.7,0,0,0,11,11,0,2,1,1,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Emile Smith Rowe,ENG,MF,20,2000,16.0,0,0,0,5,20,4,17,9,7,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Gabriel Magalhães,BRA,DF,22,1997,22.2,4,1,1,24,26,0,2,27,15,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Gabriel Martinelli,BRA,"MF,FW",19,2001,6.5,0,0,0,9,4,1,12,8,1,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Granit Xhaka,SUI,"MF,DF",27,1992,28.0,7,1,0,39,38,1,11,22,30,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Héctor Bellerín,ESP,"DF,MF",25,1995,23.2,8,0,0,21,7,1,54,30,19,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Joe Willock,ENG,MF,20,1999,2.6,1,0,0,6,4,1,5,3,4,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Kieran Tierney,SCO,DF,23,1997,25.5,4,0,0,14,18,0,123,16,15,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Martin Ødegaard,NOR,MF,21,1998,9.6,0,0,0,1,9,1,36,2,3,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Mathew Ryan,AUS,GK,28,1992,3.0,0,0,0,0,0,0,0,0,0,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Mohamed Elneny,EGY,MF,28,1992,17.2,3,0,0,10,10,0,2,24,7,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Nicolas Pépé,CIV,"MF,FW",25,1995,18.0,1,1,0,10,26,4,59,10,14,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Pablo Marí,ESP,DF,26,1993,10.0,2,0,0,8,4,0,0,7,10,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Pierre-Emerick Aubameyang,GAB,"FW,MF",31,1989,25.9,2,0,0,13,18,18,39,7,9,,,1,2020-2021,misc
ENG-Premier League,2020,Arsenal,Reiss Nelson,ENG,"FW,MF",20,1999,0.8,0,0,0,2,1,0,11,1,0,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Rob Holding,ENG,DF,24,1995,28.4,2,0,0,24,5,2,2,24,20,,,1,2020-2021,misc
ENG-Premier League,2020,Arsenal,Rúnar Alex Rúnarsson,ISL,GK,25,1995,0.2,0,0,0,0,0,0,0,0,0,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Sead Kolašinac,BIH,DF,27,1993,1.0,0,0,0,1,1,0,1,1,0,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Shkodran Mustafi,GER,DF,28,1992,0.5,0,0,0,1,0,0,0,0,1,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Thomas Partey,GHA,MF,27,1993,17.0,5,0,0,18,17,0,6,23,23,,,0,2020-2021,misc
ENG-Premier League,2020,Arsenal,Willian,BRA,"MF,FW",31,1988,15.6,0,0,0,5,21,4,104,9,7,,,0,2020-2021,misc
ENG-Premier League,2020,Aston Villa,Ahmed Elmohamady,EGY,DF,32,1987,9.3,2,0,0,6,3,0,38,19,13,,,0,2020-2021,misc
