league,season,team,player,nation,pos,age,born,shooting_90s,shooting_standard_gls,shooting_standard_sh,shooting_standard_sot,shooting_standard_sotpct,shooting_standard_sh_90,shooting_standard_sot_90,shooting_standard_g_sh,shooting_standard_g_sot,shooting_standard_pk,shooting_standard_pkatt,fbref_season_label,fbref_stat_type
ENG-Premier League,2021,Manchester Utd,Diogo Dalot,POR,DF,22,1999,20.0,0,13,4,30.8,0.65,0.2,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Donny van de Beek,NED,MF,24,1997,0.8,1,2,1,50.0,2.4,1.2,0.5,1.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Edinson Cavani,URU,FW,34,1987,8.5,2,18,8,44.4,2.11,0.94,0.11,0.25,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Eric Bailly,CIV,DF,27,1994,2.4,0,0,0,,0.0,0.0,,,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Fred,BRA,MF,28,1993,22.5,4,15,9,60.0,0.67,0.4,0.27,0.44,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Hannibal Mejbri,TUN,MF,18,2003,0.8,0,1,1,100.0,1.32,1.32,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Harry Maguire,ENG,DF,28,1993,27.9,1,23,10,43.5,0.82,0.36,0.04,0.1,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Jadon Sancho,ENG,"MF,FW",21,2000,21.1,3,26,9,34.6,1.23,0.43,0.12,0.33,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Jesse Lingard,ENG,MF,28,1992,4.1,2,8,6,75.0,1.96,1.47,0.25,0.33,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Juan Mata,ESP,MF,33,1988,2.6,0,5,1,20.0,1.91,0.38,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Luke Shaw,ENG,"DF,MF",26,1995,17.8,0,6,1,16.7,0.34,0.06,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Marcus Rashford,ENG,"MF,FW",23,1997,13.7,4,22,12,54.5,1.6,0.87,0.18,0.33,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Mason Greenwood,ENG,"MF,FW",19,2001,14.1,5,48,19,39.6,3.4,1.35,0.1,0.26,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Nemanja Matić,SRB,MF,32,1988,15.4,0,6,1,16.7,0.39,0.07,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Paul Pogba,FRA,MF,28,1993,15.0,1,32,8,25.0,2.13,0.53,0.03,0.13,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Phil Jones,ENG,DF,29,1992,1.8,0,0,0,,0.0,0.0,,,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Raphaël Varane,FRA,DF,28,1993,20.3,1,9,1,11.1,0.44,0.05,0.11,1.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Scott McTominay,SCO,MF,24,1996,26.5,1,27,7,25.9,1.02,0.26,0.04,0.14,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Shola Shoretire,ENG,"FW,MF",17,2004,0.2,0,0,0,,0.0,0.0,,,0,0,2021-2022,shooting
ENG-Premier League,2021,Manchester Utd,Victor Lindelöf,SWE,DF,27,1994,26.2,0,3,2,66.7,0.11,0.08,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Allan Saint-Maximin,FRA,"FW,MF",24,1997,31.2,5,64,26,40.6,2.05,0.83,0.08,0.19,0,0,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Bruno Guimarães,BRA,MF,23,1997,11.5,5,23,12,52.2,2.0,1.04,0.22,0.42,0,0,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Callum Wilson,ENG,FW,29,1992,15.4,8,35,15,42.9,2.27,0.97,0.17,0.4,2,2,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Chris Wood,NZL,FW,29,1991,14.7,2,21,7,33.3,1.42,0.47,0.05,0.14,1,1,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Ciaran Clark,IRL,DF,31,1989,11.3,0,7,1,14.3,0.62,0.09,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Dan Burn,ENG,DF,29,1992,16.0,0,11,1,9.1,0.69,0.06,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Dwight Gayle,ENG,FW,30,1990,0.4,0,2,0,0.0,4.74,0.0,0.0,,0,0,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Emil Krafth,SWE,DF,26,1994,18.2,0,6,2,33.3,0.33,0.11,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Fabian Schär,SUI,DF,29,1991,24.0,2,20,7,35.0,0.83,0.29,0.1,0.29,0,0,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Federico Fernández,ARG,DF,32,1989,5.8,0,6,1,16.7,1.03,0.17,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Newcastle,Freddie Woodman,ENG,GK,24,1997,4.0,0,0,0,,0.0,0.0,,,0,0,2021-2022,shooting
