league,season,team,player,nation,pos,age,born,keeper_playing_time_mp,keeper_playing_time_starts,keeper_playing_time_min,keeper_90s,keeper_performance_ga,keeper_performance_ga90,keeper_performance_sota,keeper_performance_saves,keeper_performance_savepct,keeper_performance_w,keeper_performance_d,keeper_performance_l,keeper_performance_cs,keeper_performance_cspct,keeper_penalty_kicks_pkatt,keeper_penalty_kicks_pka,keeper_penalty_kicks_pksv,keeper_penalty_kicks_pkm,keeper_penalty_kicks_savepct,fbref_season_label,fbref_stat_type
ENG-Premier League,2022,Arsenal,Aaron Ramsdale,ENG,GK,24,1998,38,38,3420,38.0,43,1.13,137,94,68.6,26,6,6,14,36.8,5,3,0,2,0.0,2022-2023,keeper
ENG-Premier League,2022,Aston Villa,Emiliano Martínez,ARG,GK,29,1992,36,36,3139,34.9,38,1.09,135,97,71.9,17,7,12,11,30.6,5,4,1,0,20.0,2022-2023,keeper
ENG-Premier League,2022,Aston Villa,Robin Olsen,SWE,GK,32,1990,4,2,281,3.1,8,2.56,19,11,57.9,1,0,1,1,50.0,1,1,0,0,0.0,2022-2023,keeper
ENG-Premier League,2022,Bournemouth,Mark Travers,IRL,GK,23,1999,12,11,1035,11.5,32,2.78,68,36,52.9,2,0,9,2,18.2,2,2,0,0,0.0,2022-2023,keeper
ENG-Premier League,2022,Bournemouth,Neto,BRA,GK,33,1989,27,27,2385,26.5,39,1.47,139,100,71.9,9,6,12,6,22.2,5,4,0,1,0.0,2022-2023,keeper
ENG-Premier League,2022,Brentford,David Raya,ESP,GK,26,1995,38,38,3420,38.0,46,1.21,200,154,77.0,15,14,9,12,31.6,2,2,0,0,0.0,2022-2023,keeper
ENG-Premier League,2022,Brighton,Jason Steele,ENG,GK,31,1990,15,15,1350,15.0,23,1.53,59,36,61.0,7,3,5,6,40.0,2,1,1,0,50.0,2022-2023,keeper
ENG-Premier League,2022,Brighton,Robert Sánchez,ESP,GK,24,1997,23,23,2070,23.0,30,1.3,77,47,61.0,11,5,7,6,26.1,6,5,1,0,16.7,2022-2023,keeper
ENG-Premier League,2022,Chelsea,Kepa Arrizabalaga,ESP,GK,27,1994,29,29,2565,28.5,33,1.16,124,91,73.4,8,9,12,9,31.0,1,1,0,0,0.0,2022-2023,keeper
ENG-Premier League,2022,Chelsea,Édouard Mendy,SEN,GK,30,1992,10,9,855,9.5,14,1.47,39,25,64.1,3,2,4,1,11.1,0,0,0,0,,2022-2023,keeper
ENG-Premier League,2022,Crystal Palace,Joseph Whitworth,ENG,GK,18,2004,2,2,180,2.0,5,2.5,10,5,50.0,0,0,2,0,0.0,0,0,0,0,,2022-2023,keeper
ENG-Premier League,2022,Crystal Palace,Sam Johnstone,ENG,GK,29,1993,9,9,810,9.0,10,1.11,36,26,72.2,4,3,2,3,33.3,2,2,0,0,0.0,2022-2023,keeper
ENG-Premier League,2022,Crystal Palace,Vicente Guaita,ESP,GK,35,1987,27,27,2430,27.0,34,1.26,117,84,70.9,7,9,11,6,22.2,2,2,0,0,0.0,2022-2023,keeper
ENG-Premier League,2022,Everton,Asmir Begović,BIH,GK,35,1987,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,2022-2023,keeper
ENG-Premier League,2022,Everton,Jordan Pickford,ENG,GK,28,1994,37,37,3330,37.0,57,1.54,180,123,68.3,7,12,18,8,21.6,6,5,1,0,16.7,2022-2023,keeper
ENG-Premier League,2022,Fulham,Bernd Leno,GER,GK,30,1992,36,36,3240,36.0,51,1.42,194,143,73.7,15,5,16,8,22.2,8,7,1,0,12.5,2022-2023,keeper
ENG-Premier League,2022,Fulham,Marek Rodák,SVK,GK,25,1996,2,2,180,2.0,2,1.0,4,2,50.0,0,2,0,1,50.0,0,0,0,0,,2022-2023,keeper
ENG-Premier League,2022,Leeds United,Illan Meslier,FRA,GK,22,2000,34,34,3060,34.0,67,1.97,161,94,58.4,7,9,18,5,14.7,3,3,0,0,0.0,2022-2023,keeper
ENG-Premier League,2022,Leeds United,Joel Robles,ESP,GK,32,1990,4,4,360,4.0,11,2.75,27,16,59.3,0,1,3,0,0.0,3,2,0,1,0.0,2022-2023,keeper
ENG-Premier League,2022,Leicester City,Daniel Iversen,DEN,GK,25,1997,12,12,1080,12.0,22,1.83,60,38,63.3,2,4,6,1,8.3,2,2,0,0,0.0,2022-2023,keeper
ENG-Premier League,2022,Leicester City,Danny Ward,WAL,GK,29,1993,26,26,2340,26.0,46,1.77,122,76,62.3,7,3,16,6,23.1,3,2,1,0,33.3,2022-2023,keeper
ENG-Premier League,2022,Liverpool,Alisson,BRA,GK,29,1992,37,37,3330,37.0,43,1.16,146,104,70.5,19,9,9,14,37.8,4,2,1,1,33.3,2022-2023,keeper
ENG-Premier League,2022,Liverpool,Caoimhín Kelleher,IRL,GK,23,1998,1,1,90,1.0,4,4.0,10,6,60.0,0,1,0,0,0.0,0,0,0,0,,2022-2023,keeper
ENG-Premier League,2022,Manchester City,Ederson Moraes,BRA,GK,28,1993,35,35,3150,35.0,32,0.91,78,46,59.0,26,4,5,11,31.4,3,3,0,0,0.0,2022-2023,keeper
ENG-Premier League,2022,Manchester City,Stefan Ortega,GER,GK,29,1992,3,3,270,3.0,1,0.33,15,14,93.3,2,1,0,2,66.7,0,0,0,0,,2022-2023,keeper
ENG-Premier League,2022,Manchester Utd,David de Gea,ESP,GK,31,1990,38,38,3420,38.0,43,1.13,143,100,69.9,23,6,9,17,44.7,3,2,1,0,33.3,2022-2023,keeper
ENG-Premier League,2022,Newcastle,Martin Dúbravka,SVK,GK,33,1989,2,1,157,1.7,1,0.57,11,10,90.9,0,1,0,0,0.0,0,0,0,0,,2022-2023,keeper
