league,season,team,player,nation,pos,age,born,standard_playing_time_mp,standard_playing_time_starts,standard_playing_time_min,standard_playing_time_90s,standard_performance_gls,standard_performance_ast,standard_performance_g_a,standard_performance_g_pk,standard_performance_pk,standard_performance_pkatt,standard_performance_crdy,standard_performance_crdr,standard_per_90_minutes_gls,standard_per_90_minutes_ast,standard_per_90_minutes_g_a,standard_per_90_minutes_g_pk,standard_per_90_minutes_g_a_pk,fbref_season_label,fbref_stat_type
ENG-Premier League,2018,Arsenal,Aaron Ramsey,WAL,MF,27,1990,28,14,1331,14.8,4,6,10,4,0,0,0,0,0.27,0.41,0.68,0.27,0.68,2018-2019,standard
ENG-Premier League,2018,Arsenal,Ainsley Maitland-Niles,ENG,"MF,DF",20,1997,16,11,987,11.0,1,1,2,1,0,0,3,2,0.09,0.09,0.18,0.09,0.18,2018-2019,standard
ENG-Premier League,2018,Arsenal,Alex Iwobi,NGA,"MF,FW",22,1996,35,22,1970,21.9,3,6,9,3,0,0,0,0,0.14,0.27,0.41,0.14,0.41,2018-2019,standard
ENG-Premier League,2018,Arsenal,Alexandre Lacazette,FRA,FW,27,1991,35,27,2502,27.8,13,8,21,13,0,0,2,0,0.47,0.29,0.76,0.47,0.76,2018-2019,standard
ENG-Premier League,2018,Arsenal,Bernd Leno,GER,GK,26,1992,32,31,2836,31.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Arsenal,Bukayo Saka,ENG,"FW,MF",16,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Arsenal,Carl Jenkinson,ENG,MF,26,1992,3,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Arsenal,Danny Welbeck,ENG,MF,27,1990,8,1,153,1.7,1,1,2,1,0,0,0,0,0.59,0.59,1.18,0.59,1.18,2018-2019,standard
ENG-Premier League,2018,Arsenal,Denis Suárez,ESP,MF,24,1994,4,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Arsenal,Eddie Nketiah,ENG,FW,19,1999,5,0,67,0.7,1,0,1,1,0,0,0,0,1.34,0.0,1.34,1.34,1.34,2018-2019,standard
ENG-Premier League,2018,Arsenal,Granit Xhaka,SUI,MF,25,1992,29,29,2498,27.8,4,2,6,4,0,0,10,0,0.14,0.07,0.22,0.14,0.22,2018-2019,standard
ENG-Premier League,2018,Arsenal,Henrikh Mkhitaryan,ARM,"MF,FW",29,1989,25,19,1641,18.2,6,4,10,6,0,0,1,0,0.33,0.22,0.55,0.33,0.55,2018-2019,standard
ENG-Premier League,2018,Arsenal,Héctor Bellerín,ESP,"DF,MF",23,1995,19,18,1533,17.0,0,5,5,0,0,0,3,0,0.0,0.29,0.29,0.0,0.29,2018-2019,standard
ENG-Premier League,2018,Arsenal,Joe Willock,ENG,MF,18,1999,2,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Arsenal,Konstantinos Mavropanos,GRE,DF,20,1997,4,3,148,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Arsenal,Laurent Koscielny,FRA,DF,32,1985,17,13,1331,14.8,3,0,3,3,0,0,1,0,0.2,0.0,0.2,0.2,0.2,2018-2019,standard
ENG-Premier League,2018,Arsenal,Lucas Torreira,URU,MF,22,1996,34,24,2382,26.5,2,2,4,2,0,0,7,1,0.08,0.08,0.15,0.08,0.15,2018-2019,standard
ENG-Premier League,2018,Arsenal,Mattéo Guendouzi,FRA,MF,19,1999,33,23,2149,23.9,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Arsenal,Mesut Özil,GER,MF,29,1988,24,20,1735,19.3,5,2,7,5,0,0,2,0,0.26,0.1,0.36,0.26,0.36,2018-2019,standard
ENG-Premier League,2018,Arsenal,Mohamed Elneny,EGY,MF,26,1992,8,5,380,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Arsenal,Nacho Monreal,ESP,DF,32,1986,22,21,1861,20.7,1,3,4,1,0,0,5,0,0.05,0.15,0.19,0.05,0.19,2018-2019,standard
ENG-Premier League,2018,Arsenal,Petr Čech,CZE,GK,36,1982,7,7,584,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Arsenal,Pierre-Emerick Aubameyang,GAB,"FW,MF",29,1989,36,30,2726,30.3,22,5,27,18,4,5,0,0,0.73,0.17,0.89,0.59,0.76,2018-2019,standard
ENG-Premier League,2018,Arsenal,Rob Holding,ENG,DF,22,1995,10,9,807,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Arsenal,Sead Kolašinac,BIH,"MF,DF",25,1993,24,22,1887,21.0,0,5,5,0,0,0,5,0,0.0,0.24,0.24,0.0,0.24,2018-2019,standard
ENG-Premier League,2018,Arsenal,Shkodran Mustafi,GER,DF,26,1992,31,31,2611,29.0,2,0,2,2,0,0,9,0,0.07,0.0,0.07,0.07,0.07,2018-2019,standard
ENG-Premier League,2018,Arsenal,Sokratis Papastathopoulos,GRE,DF,30,1988,25,25,2198,24.4,1,2,3,1,0,0,12,0,0.04,0.08,0.12,0.04,0.12,2018-2019,standard
ENG-Premier League,2018,Arsenal,Stephan Lichtsteiner,SUI,DF,34,1984,14,10,938,10.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Adam Smith,ENG,"DF,MF",27,1991,25,25,2066,23.0,1,1,2,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Andrew Surman,ENG,MF,31,1986,18,16,1439,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Artur Boruc,POL,GK,38,1980,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Asmir Begović,BIH,GK,31,1987,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Callum Wilson,ENG,FW,26,1992,30,29,2528,28.1,14,9,23,13,1,2,3,0,0.5,0.32,0.82,0.46,0.78,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Charlie Daniels,ENG,"DF,MF",31,1986,21,17,1585,17.6,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Chris Mepham,WAL,DF,20,1997,13,10,850,9.4,0,1,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Dan Gosling,ENG,MF,28,1990,25,19,1739,19.3,2,1,3,2,0,0,8,0,0.1,0.05,0.16,0.1,0.16,2018-2019,standard
ENG-Premier League,2018,Bournemouth,David Brooks,WAL,MF,21,1997,30,29,2261,25.1,7,5,12,7,0,0,3,0,0.28,0.2,0.48,0.28,0.48,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Diego Rico,ESP,"DF,MF",25,1993,12,5,612,6.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Dominic Solanke,ENG,FW,20,1997,10,2,347,3.9,0,1,1,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Emerson Hyndman,USA,MF,22,1996,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
ENG-Premier League,2018,Bournemouth,Jack Simpson,ENG,DF,21,1996,6,4,403,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2018-2019,standard
