league,season,team,player,nation,pos,age,born,misc_90s,misc_performance_crdy,misc_performance_crdr,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,fbref_season_label,fbref_stat_type
ENG-Premier League,2021,Arsenal,Aaron Ramsdale,ENG,GK,23,1998,34.0,1,0,0,0,5,0,0,0,1,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Ainsley Maitland-Niles,ENG,MF,23,1997,3.0,0,0,0,4,3,0,2,4,4,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Albert Sambi Lokonga,BEL,MF,21,1999,12.6,5,0,0,12,15,0,2,13,16,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Alexandre Lacazette,FRA,"FW,MF",30,1991,19.8,0,0,0,32,29,6,7,4,10,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Ben White,ENG,DF,23,1997,32.0,3,0,0,19,27,0,0,44,21,,,1,2021-2022,misc
ENG-Premier League,2021,Arsenal,Bernd Leno,GER,GK,29,1992,4.0,0,0,0,0,0,0,0,0,1,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Bukayo Saka,ENG,"MF,FW",19,2001,33.1,6,0,0,38,59,17,111,22,23,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Calum Chambers,ENG,DF,26,1995,1.9,0,0,0,2,1,0,3,0,3,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Cédric Soares,POR,DF,29,1991,16.5,3,0,0,15,6,3,100,15,28,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Eddie Nketiah,ENG,FW,22,1999,9.3,3,0,0,17,14,5,5,5,5,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Emile Smith Rowe,ENG,MF,21,2000,21.3,1,0,0,5,21,2,45,13,7,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Folarin Balogun,USA,FW,20,2001,0.8,0,0,0,0,1,1,0,0,1,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Gabriel Magalhães,BRA,DF,23,1997,34.0,8,1,1,23,38,1,1,14,31,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Gabriel Martinelli,BRA,"MF,FW",20,2001,20.7,3,1,1,23,20,10,74,19,20,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Granit Xhaka,SUI,MF,28,1992,25.9,10,1,0,29,19,2,25,21,18,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Kieran Tierney,SCO,DF,24,1997,21.3,0,0,0,5,16,1,80,16,14,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Martin Ødegaard,NOR,MF,22,1998,30.9,4,0,0,27,20,3,59,10,19,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Mohamed Elneny,EGY,MF,29,1992,9.0,1,0,0,5,5,0,0,15,8,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Nicolas Pépé,CIV,MF,26,1995,7.7,0,0,0,8,3,4,37,7,5,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Nuno Tavares,POR,DF,21,2000,13.1,2,0,0,23,13,1,41,10,13,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Pablo Marí,ESP,DF,27,1993,2.0,1,0,0,1,1,0,0,3,3,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,32,1989,11.5,3,0,0,15,8,10,11,0,5,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Reiss Nelson,ENG,"FW,MF",21,1999,0.2,0,0,0,0,0,0,0,0,0,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Rob Holding,ENG,DF,25,1995,9.4,4,1,1,9,3,0,0,11,9,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Sead Kolašinac,BIH,DF,28,1993,1.0,1,0,0,2,0,0,0,4,0,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Takehiro Tomiyasu,JPN,DF,22,1998,18.7,2,0,0,16,14,0,31,23,16,,,0,2021-2022,misc
ENG-Premier League,2021,Arsenal,Thomas Partey,GHA,MF,28,1993,22.5,6,0,0,33,17,0,4,25,28,,,0,2021-2022,misc
ENG-Premier League,2021,Aston Villa,Anwar El Ghazi,NED,"MF,FW",26,1995,4.3,2,0,0,8,5,2,14,1,4,,,0,2021-2022,misc
ENG-Premier League,2021,Aston Villa,Ashley Young,ENG,"DF,FW",36,1985,13.9,2,0,0,16,33,1,44,13,6,,,1,2021-2022,misc
ENG-Premier League,2021,Aston Villa,Axel Tuanzebe,COD,DF,23,1997,5.6,1,0,0,3,3,0,1,5,3,,,0,2021-2022,misc
ENG-Premier League,2021,Aston Villa,Bertrand Traoré,BFA,FW,25,1995,2.4,0,0,0,0,4,2,5,0,3,,,0,2021-2022,misc
