league,season,team,player,nation,pos,age,born,keeper_playing_time_mp,keeper_playing_time_starts,keeper_playing_time_min,keeper_90s,keeper_performance_ga,keeper_performance_ga90,keeper_performance_sota,keeper_performance_saves,keeper_performance_savepct,keeper_performance_w,keeper_performance_d,keeper_performance_l,keeper_performance_cs,keeper_performance_cspct,keeper_penalty_kicks_pkatt,keeper_penalty_kicks_pka,keeper_penalty_kicks_pksv,keeper_penalty_kicks_pkm,keeper_penalty_kicks_savepct,fbref_season_label,fbref_stat_type
ESP-La Liga,2018,Sevilla,Tomáš Vaclík,CZE,GK,29,1989,33,33,2970,33.0,44,1.33,142,98,69.0,13,8,12,8,24.2,5,4,1,0,20.0,2018-2019,keeper
ESP-La Liga,2018,Valencia,Jaume Doménech,ESP,GK,27,1990,4,4,360,4.0,1,0.25,13,12,92.3,2,2,0,3,75.0,0,0,0,0,,2018-2019,keeper
ESP-La Liga,2018,Valencia,Neto,BRA,GK,29,1989,34,34,3060,34.0,34,1.0,142,108,76.1,13,14,7,10,29.4,8,7,1,0,12.5,2018-2019,keeper
ESP-La Liga,2018,Valladolid,Jordi Masip,ESP,GK,29,1989,35,35,3150,35.0,45,1.29,141,96,68.1,10,9,16,9,25.7,8,5,3,0,37.5,2018-2019,keeper
ESP-La Liga,2018,Valladolid,Yoel,ESP,GK,29,1988,3,3,270,3.0,6,2.0,12,6,50.0,0,2,1,0,0.0,1,1,0,0,0.0,2018-2019,keeper
ESP-La Liga,2018,Villarreal,Andrés Fernández,ESP,GK,31,1986,6,6,540,6.0,7,1.17,23,16,69.6,3,2,1,2,33.3,1,1,0,0,0.0,2018-2019,keeper
ESP-La Liga,2018,Villarreal,Sergio Asenjo,ESP,GK,29,1989,32,32,2880,32.0,45,1.41,166,121,72.9,7,12,13,9,28.1,4,2,1,1,33.3,2018-2019,keeper
FRA-Ligue 1,2018,Amiens,Régis Gurtner,FRA,GK,31,1986,38,38,3420,38.0,52,1.37,160,114,67.5,9,11,18,11,28.9,9,6,2,1,25.0,2018-2019,keeper
FRA-Ligue 1,2018,Angers,Ludovic Butelle,FRA,GK,35,1983,36,36,3239,36.0,48,1.33,162,114,70.4,9,15,12,12,33.3,5,3,2,0,40.0,2018-2019,keeper
FRA-Ligue 1,2018,Angers,Zacharie Boucher,FRA,GK,26,1992,2,2,180,2.0,1,0.5,4,3,75.0,1,1,0,1,50.0,0,0,0,0,,2018-2019,keeper
