league,season,team,player,nation,pos,age,born,misc_90s,misc_performance_crdy,misc_performance_crdr,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,fbref_season_label,fbref_stat_type
ENG-Premier League,2018,Arsenal,Aaron Ramsey,WAL,MF,27,1990,14.8,0,0,0,21,20,5,16,7,20,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Ainsley Maitland-Niles,ENG,"MF,DF",20,1997,11.0,3,2,1,8,13,1,18,19,19,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Alex Iwobi,NGA,"MF,FW",22,1996,21.9,0,0,0,8,13,2,58,12,16,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Alexandre Lacazette,FRA,FW,27,1991,27.8,2,0,0,51,54,24,30,15,19,1,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Bernd Leno,GER,GK,26,1992,31.5,0,0,0,0,5,0,0,3,0,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Bukayo Saka,ENG,"FW,MF",16,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Carl Jenkinson,ENG,MF,26,1992,1.8,0,0,0,1,0,0,3,0,2,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Danny Welbeck,ENG,MF,27,1990,1.7,0,0,0,3,2,0,0,1,3,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Denis Suárez,ESP,MF,24,1994,0.8,0,0,0,0,1,1,0,1,1,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Eddie Nketiah,ENG,FW,19,1999,0.7,0,0,0,1,2,2,0,0,1,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Granit Xhaka,SUI,MF,25,1992,27.8,10,0,0,45,51,1,130,33,28,0,2,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Henrikh Mkhitaryan,ARM,"MF,FW",29,1989,18.2,1,0,0,27,11,3,63,17,22,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Héctor Bellerín,ESP,"DF,MF",23,1995,17.0,3,0,0,16,7,2,39,18,13,0,0,1,2018-2019,misc
ENG-Premier League,2018,Arsenal,Joe Willock,ENG,MF,18,1999,0.7,0,0,0,0,2,0,0,1,0,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Konstantinos Mavropanos,GRE,DF,20,1997,1.6,1,0,0,2,0,0,0,5,1,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Laurent Koscielny,FRA,DF,32,1985,14.8,1,0,0,11,15,0,0,29,13,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Lucas Torreira,URU,MF,22,1996,26.5,7,1,0,37,77,0,28,41,39,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Mattéo Guendouzi,FRA,MF,19,1999,23.9,9,0,0,25,62,0,15,27,28,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Mesut Özil,GER,MF,29,1988,19.3,2,0,0,10,23,10,45,5,6,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Mohamed Elneny,EGY,MF,26,1992,4.2,0,0,0,1,0,1,3,2,4,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Nacho Monreal,ESP,DF,32,1986,20.7,5,0,0,17,21,1,28,28,20,1,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Petr Čech,CZE,GK,36,1982,6.5,0,0,0,0,2,0,0,0,1,0,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Pierre-Emerick Aubameyang,GAB,"FW,MF",29,1989,30.3,0,0,0,13,23,23,45,9,18,1,0,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Rob Holding,ENG,DF,22,1995,9.0,1,0,0,6,2,0,1,10,8,0,1,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Sead Kolašinac,BIH,"MF,DF",25,1993,21.0,5,0,0,21,10,11,51,22,21,1,1,1,2018-2019,misc
ENG-Premier League,2018,Arsenal,Shkodran Mustafi,GER,DF,26,1992,29.0,9,0,0,42,9,4,11,59,45,0,2,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Sokratis Papastathopoulos,GRE,DF,30,1988,24.4,12,0,0,37,25,0,1,27,27,0,1,0,2018-2019,misc
ENG-Premier League,2018,Arsenal,Stephan Lichtsteiner,SUI,DF,34,1984,10.4,3,0,0,11,10,2,30,8,9,0,0,0,2018-2019,misc
ENG-Premier League,2018,Bournemouth,Adam Smith,ENG,"DF,MF",27,1991,23.0,5,1,0,18,44,0,23,32,30,0,1,0,2018-2019,misc
ENG-Premier League,2018,Bournemouth,Andrew Surman,ENG,MF,31,1986,16.0,2,0,0,8,6,0,2,10,7,0,0,0,2018-2019,misc
