label,precision,recall,f1-score,support
Menengah,0.7631284916201118,0.7026748971193416,0.7316550615961436,972.0
Rendah,0.8457974851091992,0.9096085409252669,0.8765432098765432,1405.0
Tinggi,0.8228228228228228,0.7569060773480663,0.7884892086330936,362.0
accuracy,0.8159912376779846,0.8159912376779846,0.8159912376779846,0.8159912376779846
macro avg,0.8105829331840445,0.789729838464225,0.7988958267019268,2739.0
weighted avg,0.8134239584866869,0.8159912376779846,0.8134885079493154,2739.0
