model,scenario,split,label,precision,recall,f1-score,support
xgboost,hybrid_sampling_light,test,Rendah,0.6386054421768708,0.805793991416309,0.7125237191650854,932.0
xgboost,hybrid_sampling_light,test,Menengah,0.7490079365079365,0.5625931445603577,0.6425531914893617,1342.0
xgboost,hybrid_sampling_light,test,Tinggi,0.6522522522522523,0.7784946236559139,0.7098039215686275,465.0
xgboost,hybrid_sampling_light,test,macro avg,0.6799552103123533,0.7156272532108602,0.6882936107410248,2739.0
xgboost,hybrid_sampling_light,test,weighted avg,0.6950150493610047,0.6820007301935013,0.6777792306571723,2739.0
