model,scenario,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,recall_tinggi,params
xgboost,no_sampling,validation,0.7076461769115442,0.7336523894665694,0.6839212228101118,0.7020548370365319,0.7069134064859948,0.5857142857142857,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'reg_lambda': 1}"
xgboost,no_sampling,validation,0.7083958020989505,0.731397501291135,0.6853650102016116,0.7020418898859822,0.707486847269533,0.5857142857142857,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'reg_lambda': 3}"
xgboost,no_sampling,validation,0.7091454272863568,0.7369173120740374,0.6832183490680223,0.7018062891003539,0.7079962781643117,0.5714285714285714,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 3}"
random_forest,hybrid_sampling_light,validation,0.6979010494752623,0.7049159470392462,0.7069293149358509,0.7015852786751676,0.6958883952037037,0.6952380952380952,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,class_weight_balanced,validation,0.6986506746626686,0.6956076283039309,0.7185444548189647,0.7015062095478367,0.6958223820918301,0.7428571428571429,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1}"
xgboost,hybrid_sampling_light,validation,0.6986506746626686,0.7007120068820005,0.7114059203928486,0.7013214298317677,0.6960334807584828,0.7095238095238096,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 5, 'reg_lambda': 1}"
xgboost,hybrid_sampling_light,validation,0.7016491754122939,0.7011181127697564,0.7086143099214995,0.7012599681020734,0.6995805446559017,0.6904761904761905,"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 5, 'reg_lambda': 5}"
xgboost,no_sampling,validation,0.7068965517241379,0.7353851486623064,0.6825621606667358,0.7009123390200264,0.7059143826131626,0.5761904761904761,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'reg_lambda': 3}"
xgboost,no_sampling,validation,0.7076461769115442,0.7330898698407949,0.6834483175986444,0.7007635207875417,0.706519248791417,0.5761904761904761,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 1}"
xgboost,no_sampling,validation,0.7083958020989505,0.7376032335937995,0.6812592938409932,0.7006458115454889,0.7072366152869018,0.5666666666666667,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 3}"
random_forest,hybrid_sampling_light,validation,0.697151424287856,0.7092269710289284,0.7001210360687485,0.7006410817438926,0.6957461824947394,0.6714285714285714,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,no_sampling,validation,0.7083958020989505,0.7361225638072929,0.6823745547601757,0.7005587926011696,0.707032326740608,0.5666666666666667,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1}"
random_forest,class_weight_balanced,validation,0.6964017991004497,0.6998095223911477,0.7100062247121071,0.7004442923760504,0.6941491433084424,0.7142857142857143,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced'}"
xgboost,no_sampling,validation,0.7076461769115442,0.7317826432545704,0.6825189334993255,0.7001544843549435,0.7066019821534757,0.5761904761904761,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'reg_lambda': 5}"
random_forest,class_weight_balanced,validation,0.6964017991004497,0.7130219837023372,0.6941997786769029,0.6994903553803522,0.6955253046834362,0.6523809523809524,"{'n_estimators': 500, 'max_depth': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}"
xgboost,hybrid_sampling_light,validation,0.699400299850075,0.7004915293275898,0.705812324929972,0.6994839649292821,0.6973529551090236,0.6857142857142857,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 5}"
xgboost,no_sampling,validation,0.7098950524737632,0.738430444060206,0.6786976519002662,0.6991501313695464,0.7083664549883285,0.5523809523809524,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1}"
