model,split,mae,rmse,r2,mape,within_5_mio,category_accuracy,scenario
xgboost_regressor,validation,5.443290393582912,8.694147352742183,0.8414676986109846,0.3598991417876285,0.6638655462184874,0.7941176470588235,no_sampling
xgboost_regressor,validation,5.500103501983049,8.630979897040024,0.8437629675982496,0.3822283179747481,0.6453781512605042,0.7974789915966387,random_oversampling_light
ridge_regression,validation,5.653158245902369,9.214110809950553,0.8219382518616015,0.35570175969684487,0.6705882352941176,0.7907563025210084,no_sampling
ridge_regression,validation,5.67485423162925,9.08296932734862,0.826970773495938,0.3860553947974095,0.6453781512605042,0.7899159663865546,random_oversampling_light
baseline_nilai_saat_ini,validation,5.92798319327731,9.052982701757434,0.8281113691872549,0.47990524962207237,0.661344537815126,0.7739495798319328,
baseline_nilai_saat_ini,test,6.994662218515428,11.123850504285889,0.7577193518971556,0.4992716086690297,0.6071726438698916,0.7539616346955796,
xgboost_regressor,test,6.077334850807802,9.959403700433247,0.8057884238795245,0.3763629285554009,0.6121768140116765,0.7823185988323603,no_sampling
