age,age_peak_distance,is_peak_age,height_m,preferred_foot,pos_category,is_goalkeeper,is_defender,is_midfielder,is_forward,league,league_rank,club_total_mv_mio,club_total_mv_rank_league_season,club_total_mv_pct_league_season,club_mv_relative_to_league_avg,prev_season_mv,two_seasons_ago_mv,has_prev_mv,mv_history_count,prev_growth_rate_clipped,prev_season_mv_log,prev_mv_category,two_seasons_ago_mv_category,prev_mv_to_club_total_ratio,minutes,goals,assists,yellow_cards,shots_total,shots_on_target,starts_rate,goals_per_90,assists_per_90,goal_assist_per_90,shots_per_90,has_performance_stats,season,market_value_category,_source_row_id,_oversampling_status,_is_oversampled_duplicate
36.0,9.0,0,1.85,right,Attack,0,0,0,1,Serie A,4,633.3,2.0,0.1043307086614173,1.8296537575259653,60.0,90.0,1,3,-0.3333333333333333,4.110873864173311,Tinggi,Tinggi,0.0947418285172903,2802.0,29.0,2.0,3.0,168.0,69.0,0.9393939393939394,0.9314775160599572,0.0642398286937901,0.9957173447537472,5.3961456102783725,1,2020,Tinggi,15,Original,False
37.0,10.0,0,1.85,right,Attack,0,0,0,1,Serie A,4,642.5,1.0,0.0502008032128514,1.8827920812400671,45.0,60.0,1,4,-0.25,3.828641396489095,Tinggi,Tinggi,0.0700389105058365,31.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.903225806451613,1,2021,Menengah,16,Original,False
31.0,4.0,0,1.79,right,Midfield,0,0,1,0,Premier League,1,884.25,2.0,0.0947521865889212,1.9061253632694648,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2306.0,2.0,4.0,6.0,38.0,10.0,0.78125,0.0780572419774501,0.1561144839549002,0.2341717259323504,1.4830875975715525,1,2017,Menengah,17,Original,False
32.0,5.0,0,1.79,right,Midfield,0,0,1,0,Ligue 1,5,385.83,3.0,0.2685185185185185,1.24790524103766,30.0,0.0,1,1,0.0,3.4339872044851463,Menengah,No History,0.077754451442345,966.0,1.0,0.0,2.0,10.0,5.0,0.9230769230769232,0.093167701863354,0.0,0.093167701863354,0.9316770186335404,1,2018,Menengah,18,Original,False
33.0,6.0,0,1.79,right,Midfield,0,0,1,0,Ligue 1,5,331.03,3.0,0.3313953488372093,1.0845780697052367,15.0,30.0,1,2,-0.5,2.772588722239781,Menengah,Menengah,0.0453131136150802,930.0,0.0,3.0,1.0,9.0,1.0,0.6666666666666666,0.0,0.2903225806451612,0.2903225806451612,0.8709677419354839,1,2019,Rendah,19,Original,False
34.0,7.0,0,1.79,right,Midfield,0,0,1,0,Ligue 1,5,370.35,3.0,0.2456896551724137,1.297824904839587,6.5,15.0,1,3,-0.5666666666666667,2.0149030205422647,Rendah,Menengah,0.0175509653030916,877.0,2.0,3.0,2.0,10.0,4.0,0.3333333333333333,0.2052451539338654,0.3078677309007982,0.5131128848346637,1.026225769669327,1,2020,Rendah,20,Original,False
32.0,5.0,0,1.9,right,Defender,0,1,0,0,Premier League,1,1010.0,1.0,0.032069970845481,2.177197191859948,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1394.0,1.0,1.0,6.0,9.0,2.0,1.0,0.0645624103299856,0.0645624103299856,0.1291248206599713,0.5810616929698709,1,2017,Rendah,21,Original,False
33.0,6.0,0,1.9,right,Defender,0,1,0,0,Premier League,1,1200.0,1.0,0.0298701298701298,2.194850984107996,10.0,0.0,1,1,0.0,2.3978952727983707,Rendah,No History,0.0083333333333333,1224.0,1.0,0.0,6.0,5.0,1.0,0.7647058823529411,0.0735294117647058,0.0,0.0735294117647058,0.3676470588235294,1,2018,Rendah,22,Original,False
30.0,3.0,0,1.87,left,Midfield,0,0,1,0,Ligue 1,5,236.8,4.0,0.394578313253012,0.7867191509017826,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,3019.0,5.0,1.0,10.0,58.0,21.0,1.0,0.1490559788009274,0.0298111957601854,0.1788671745611129,1.7290493540907586,1,2017,Menengah,23,Original,False
31.0,4.0,0,1.87,left,Midfield,0,0,1,0,Ligue 1,5,258.35,5.0,0.4212962962962963,0.8355916310864357,15.0,0.0,1,1,0.0,2.772588722239781,Menengah,No History,0.0580607702728856,2436.0,2.0,0.0,8.0,31.0,7.0,0.8666666666666667,0.0738916256157635,0.0,0.0738916256157635,1.145320197044335,1,2018,Rendah,24,Original,False
