age,age_peak_distance,is_peak_age,height_m,preferred_foot,pos_category,is_goalkeeper,is_defender,is_midfielder,is_forward,league,league_rank,club_total_mv_mio,club_total_mv_rank_league_season,club_total_mv_pct_league_season,club_mv_relative_to_league_avg,prev_season_mv,two_seasons_ago_mv,has_prev_mv,mv_history_count,prev_growth_rate_clipped,prev_season_mv_log,prev_mv_category,two_seasons_ago_mv_category,prev_mv_to_club_total_ratio,minutes,goals,assists,yellow_cards,shots_total,shots_on_target,starts_rate,goals_per_90,assists_per_90,goal_assist_per_90,shots_per_90,has_performance_stats,season,market_value_category,_source_row_id,_oversampling_status,_is_oversampled_duplicate
32.0,5.0,0,1.73,right,Attack,0,0,0,1,Premier League,1,1050.0,1.0,0.0307017543859649,2.190585314513698,65.0,80.0,1,2,-0.1875,4.189654742026425,Tinggi,Tinggi,0.0619047619047619,1452.0,16.0,3.0,1.0,76.0,28.0,0.75,0.9917355371900828,0.1859504132231405,1.177685950413223,4.710743801652892,1,2019,Tinggi,115,Original,False
29.0,2.0,1,1.92,right,Defender,0,1,0,0,Bundesliga,3,811.85,1.0,0.048076923076923,2.729156750737583,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1640.0,1.0,2.0,4.0,13.0,3.0,1.0,0.0548780487804878,0.1097560975609756,0.1646341463414634,0.7134146341463415,1,2017,Tinggi,117,Original,False
31.0,4.0,0,1.7,left,Attack,0,0,0,1,La Liga,2,1090.0,1.0,0.0671641791044776,2.445980276081274,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,3000.0,34.0,12.0,3.0,196.0,96.0,0.8888888888888888,1.02,0.36,1.38,5.88,1,2017,Tinggi,136,Original,False
32.0,5.0,0,1.7,left,Attack,0,0,0,1,La Liga,2,1160.0,1.0,0.0508474576271186,2.577218409751932,180.0,0.0,1,1,0.0,5.198497031265826,Tinggi,No History,0.1551724137931034,2713.0,36.0,13.0,3.0,170.0,87.0,0.8529411764705882,1.194249907851087,0.4312569111684482,1.6255068190195354,5.6395134537412455,1,2018,Tinggi,137,Original,False
33.0,6.0,0,1.7,left,Attack,0,0,0,1,La Liga,2,930.28,1.0,0.05,2.1759769819071795,150.0,180.0,1,2,-0.1666666666666666,5.017279836814924,Tinggi,Tinggi,0.1612417766693898,2880.0,25.0,21.0,4.0,159.0,71.0,0.9696969696969696,0.78125,0.65625,1.4375,4.96875,1,2019,Tinggi,138,Original,False
34.0,7.0,0,1.7,left,Attack,0,0,0,1,La Liga,2,813.5,1.0,0.0588235294117647,1.974098287932958,112.0,150.0,1,3,-0.2533333333333333,4.727387818712341,Tinggi,Tinggi,0.1376767055931161,3023.0,30.0,9.0,4.0,195.0,91.0,0.9428571428571428,0.8931524975190208,0.2679457492557062,1.161098246774727,5.805491233873635,1,2020,Tinggi,139,Original,False
35.0,8.0,0,1.7,left,Attack,0,0,0,1,Ligue 1,5,875.15,1.0,0.0614035087719298,2.788221218541469,80.0,112.0,1,4,-0.2857142857142857,4.394449154672439,Tinggi,Tinggi,0.0914129006456036,2153.0,6.0,14.0,0.0,89.0,29.0,0.9230769230769232,0.2508128193218765,0.5852299117510451,0.8360427310729216,3.7203901532745007,1,2021,Tinggi,140,Original,False
28.0,1.0,1,1.83,right,Midfield,0,0,1,0,La Liga,2,955.35,2.0,0.1890547263681592,2.1438231713341698,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2261.0,5.0,7.0,4.0,41.0,17.0,0.9629629629629628,0.1990269792127377,0.2786377708978328,0.4776647501105705,1.6320212295444492,1,2017,Tinggi,174,Original,False
29.0,2.0,1,1.83,right,Midfield,0,0,1,0,La Liga,2,896.1,3.0,0.2266949152542373,1.990901221533368,80.0,0.0,1,1,0.0,4.394449154672439,Tinggi,No History,0.0892757504742774,2221.0,0.0,4.0,2.0,30.0,9.0,0.9285714285714286,0.0,0.1620891490319675,0.1620891490319675,1.2156686177397569,1,2018,Tinggi,175,Original,False
30.0,3.0,0,1.83,right,Midfield,0,0,1,0,La Liga,2,913.75,2.0,0.1571428571428571,2.137312386827284,60.0,80.0,1,2,-0.25,4.110873864173311,Tinggi,Tinggi,0.0656634746922024,2652.0,4.0,5.0,2.0,57.0,20.0,0.8857142857142857,0.1357466063348416,0.169683257918552,0.3054298642533937,1.9343891402714928,1,2019,Tinggi,176,Original,False
31.0,4.0,0,1.83,right,Midfield,0,0,1,0,La Liga,2,787.3,2.0,0.171945701357466,1.910519461695904,48.0,60.0,1,3,-0.2,3.8918202981106265,Tinggi,Tinggi,0.0609678648545662,2117.0,3.0,10.0,6.0,34.0,12.0,0.8571428571428571,0.1275389702409069,0.4251299008030231,0.5526688710439301,1.4454416627302786,1,2020,Tinggi,177,Original,False
30.0,3.0,0,1.84,right,Midfield,0,0,1,0,La Liga,2,1090.0,1.0,0.0671641791044776,2.445980276081274,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2835.0,1.0,5.0,4.0,28.0,11.0,0.8857142857142857,0.0317460317460317,0.1587301587301587,0.1904761904761904,0.8888888888888888,1,2017,Tinggi,183,Original,False
31.0,4.0,0,1.84,right,Midfield,0,0,1,0,La Liga,2,1160.0,1.0,0.0508474576271186,2.577218409751932,50.0,0.0,1,1,0.0,3.9318256327243257,Tinggi,No History,0.043103448275862,2643.0,3.0,5.0,7.0,36.0,11.0,0.8529411764705882,0.1021566401816118,0.170261066969353,0.2724177071509648,1.2258796821793416,1,2018,Tinggi,184,Original,False
30.0,3.0,0,1.8,right,Midfield,0,0,1,0,Bundesliga,3,643.25,2.0,0.1363636363636363,1.8709773293314087,35.0,0.0,1,1,0.0,3.58351893845611,Menengah,No History,0.0544111931597357,2316.0,17.0,8.0,3.0,70.0,34.0,1.0,0.6606217616580311,0.310880829015544,0.9715025906735753,2.7202072538860103,1,2018,Tinggi,222,Original,False
29.0,2.0,1,1.8,left,Midfield,0,0,1,0,Premier League,1,694.0,6.0,0.3469387755102041,1.496014704109707,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2163.0,4.0,8.0,4.0,39.0,14.0,0.9230769230769232,0.1664355062413314,0.3328710124826629,0.4993065187239944,1.622746185852982,1,2017,Tinggi,234,Original,False
29.0,2.0,1,1.86,right,Attack,0,0,0,1,Bundesliga,3,811.85,1.0,0.048076923076923,2.729156750737583,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2172.0,29.0,2.0,1.0,126.0,56.0,0.8,1.201657458563536,0.0828729281767955,1.2845303867403317,5.220994475138122,1,2017,Tinggi,266,Original,False
30.0,3.0,0,1.86,right,Attack,0,0,0,1,Bundesliga,3,784.88,1.0,0.0431818181818181,2.282926834427728,90.0,0.0,1,1,0.0,4.51085950651685,Tinggi,No History,0.114667210274182,2957.0,22.0,7.0,2.0,144.0,51.0,1.0,0.6695975650997633,0.213053770713561,0.8826513358133243,4.382820426107542,1,2018,Tinggi,267,Original,False
31.0,4.0,0,1.86,right,Attack,0,0,0,1,Bundesliga,3,777.33,1.0,0.0516431924882629,2.2320630521556155,65.0,90.0,1,2,-0.2777777777777778,4.189654742026425,Tinggi,Tinggi,0.083619569552185,2759.0,34.0,4.0,5.0,137.0,68.0,1.0,1.109097499093875,0.1304820587169264,1.239579557810801,4.46901051105473,1,2019,Tinggi,268,Original,False
32.0,5.0,0,1.86,right,Attack,0,0,0,1,Bundesliga,3,858.23,1.0,0.0470852017937219,2.4843294780430183,56.0,65.0,1,3,-0.1384615384615384,4.04305126783455,Tinggi,Tinggi,0.0652505738554932,2458.0,41.0,7.0,4.0,137.0,67.0,0.9655172413793104,1.5012205044751832,0.2563059397884459,1.7575264442636291,5.016273393002441,1,2020,Tinggi,269,Original,False
33.0,6.0,0,1.86,right,Attack,0,0,0,1,Bundesliga,3,790.33,1.0,0.0472636815920398,2.3836017435535783,60.0,56.0,1,4,0.0714285714285714,4.110873864173311,Tinggi,Tinggi,0.0759176546505889,2946.0,35.0,3.0,2.0,161.0,81.0,1.0,1.0692464358452138,0.0916496945010183,1.1608961303462322,4.918533604887983,1,2021,Tinggi,270,Original,False
30.0,3.0,0,1.84,right,Attack,0,0,0,1,Serie A,4,653.15,1.0,0.0522388059701492,1.9176105988387109,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2815.0,16.0,5.0,4.0,102.0,40.0,0.9142857142857144,0.5115452930728241,0.1598579040852575,0.6714031971580817,3.261101243339254,1,2017,Tinggi,280,Original,False
